poste,categorie,trim_1,trim_2,av_trim_1,av_trim_2,ah_t1_t2
Banque,Actif à court terme,350227.53,304863.0,0.19095235277470043,0.15904789232053423,-0.12952873807493095
Comptes clients,Actif à court terme,906247.0,1065867.0,0.49410735028458197,0.5560658388981636,0.17613299685405856
Charges payées d'avance,Actif à court terme,25000.0,31500.0,0.013630592716019527,0.01643363939899833,0.26
Stocks de marchandises,Actif à court terme,10821.0,2613.0,0.005899865751201892,0.0013632095158597664,-0.7585250901025783
Total de l'actif à court terme,Sous-total,1292295.53,1404843.0,0.7045901615265038,0.7329105801335559,0.08709112380818958
Total des immobilisations,Sous-total,541814.0,511957.0,0.29540983847349617,0.2670894198664441,-0.05510562665416545
Total de l'actif,Total,1834109.53,1916800.0,1.0,1.0,0.04508480472264924
Comptes fournisseurs,Passif à court terme,851612.0,1160088.0,0.46431905296299286,0.6052212020033388,0.3622259902396866
Salaires à payer,Passif à court terme,7456.51,71104.62,0.004065466035717071,0.03709548205342237,8.535911572572154
Vacances à payer,Passif à court terme,5246.83,11374.16,0.0028606961112077095,0.005933931552587646,1.1678156143804925
D.A.S. à payer,Passif à court terme,60886.86,8707.83,0.03319695961669203,0.004542899624373957,-0.8569834279514496
Taxes à payer,Passif à court terme,235601.0,29284.0,0.12845525097947666,0.01527754590984975,-0.875705111608185
Capital de risque,Passif à court terme,149763.22,147461.85,0.0816544582263852,0.07693126565108514,-0.015366723552017614
Total du passif à court terme,Sous-total,1310566.42,1428020.46,0.7145518839324715,0.7450023267946577,0.08962082211750859
Emprunt hypothécaire,Passif à long terme,58199.19,57091.94,0.03173157821168946,0.02978502712854758,-0.01902517887276438
Total du passif,Total,1368765.61,1485112.4,0.7462834621441611,0.7747873539232053,0.08500125160216422
Capital-actions,Capitaux propres,450000.0,450000.0,0.2453506688883515,0.23476627712854758,0.0
Subventions,Capitaux propres,85000.0,85000.0,0.04634401523446639,0.044344741235392324,0.0
Résultat net cumulé,Capitaux propres,-69656.08,-103312.4,-0.03797814626697894,-0.05389837228714524,-0.48317849640691796
Total des capitaux propres,Total,465343.92,431687.6,0.2537165378558389,0.22521264607679464,-0.07232568978230125
