poste,trim_1,trim_2,cumul_semestre
Ventes nettes,2252034.0,2648694.0,4900728.0
Achats,1453428.0,1766913.0,3220341.0
Frais de transport sur achats,,251070.0,251070.0
Stocks de début,,10821.0,10821.0
Stocks de fin,-10821.0,-2613.0,-13434.0
Coût des marchandises vendues,1442607.0,2026191.0,3468798.0
Bénéfice brut,809427.0,622503.0,1431930.0
Salaires,131170.8,153183.29,284354.08999999997
Avantages sociaux,26649.97,31122.25,57772.22
Vacances,5246.83,6127.33,11374.16
Téléphonie et système de communication,2250.0,2250.0,4500.0
Publicité,276244.0,9000.0,285244.0
Frais de livraison,77108.0,98620.0,175728.0
Loyer,94243.0,94243.0,188486.0
Électricité,18500.0,18500.0,37000.0
Assurances,2479.0,2626.0,5105.0
Honoraires professionnels,7882.0,9270.0,17152.0
Fournitures de bureau,1437.0,1739.0,3176.0
Frais Divers,,-6500.0,-6500.0
"Taxes, permis, licences",10908.0,10908.0,21816.0
Entret./réparation,190163.0,190621.0,380784.0
Amort. - Ameublement,5257.0,5257.0,10514.0
Amort. - Équipement informatique,3000.0,3000.0,6000.0
Amort. - Equip. de vente - Caisse,1575.0,1575.0,3150.0
Amort. - Équipement - Manutention et Cuisine,1985.0,1825.0,3810.0
Amort. - Améliorations locatives,17450.0,17450.0,34900.0
Amort. - Frais d'incorporation reportés,750.0,750.0,1500.0
Intérêts et frais bancaires,4784.48,4592.45,9376.93
Total des frais d'exploitation,879083.08,656159.32,1535242.4
Résultat net,-69656.07999999996,-33656.31999999995,-103312.3999999999
