volet,poste,montant
Actif,Taxes à recevoir,217650.768125
Actif,Stock de marchandises,1453427.5
Actif,Charges payées d'avance,25000.0
Actif,Frais d'incorporation,6500.0
Actif,Améliorations locatives,349000.0
Actif,Caisses enregistreuses,31500.0
Actif,Ameublement,105131.45462450823
Actif,Équipement informatique,40000.0
Actif,Équipement de manutention,34700.0
Actif,Équipement de cuisine,5000.0
Passif et capitaux propres,Marge de crédit,670000.0
Passif et capitaux propres,Comptes fournisseurs,851612.279765625
Passif et capitaux propres,Emprunt hypothécaire,59289.99999999999
Passif et capitaux propres,Capital de risque,152007.0
Passif et capitaux propres,Capital-actions,450000.0
Passif et capitaux propres,Subvention,85000.0
