annee,mois,mois_absolu,trimestre,ventes
1,1,1,1,670142.9569093611
1,2,2,1,737157.2526002972
1,3,3,1,847730.8404903418
1,4,4,2,789670.2849226753
1,5,5,2,902326.0496870455
1,6,6,2,998932.9104271845
1,7,7,3,937557.5304526134
1,8,8,3,984435.406975244
1,9,9,3,1033657.1773240063
1,10,10,4,1555054.8424664885
1,11,11,4,1625512.0634079308
1,12,12,4,1679529.266129703
2,1,13,1,1292348.7705289882
2,2,14,1,1313037.181962866
2,3,15,1,1347190.196078766
2,4,16,2,1201235.5956708316
2,5,17,2,1212825.1516188944
2,6,18,2,1231947.9189331972
2,7,19,3,1085340.0361902067
2,8,20,3,1085340.0361902067
2,9,21,3,1085340.0361902067
2,10,22,4,1738986.9326538504
2,11,23,4,1738986.9326538504
2,12,24,4,1738986.9326538504
3,1,25,1,1292328.0005289882
3,2,26,1,1292328.0005289882
3,3,27,1,1292328.0005289882
3,4,28,2,1201235.5956708316
3,5,29,2,1201235.5956708316
3,6,30,2,1201235.5956708316
3,7,31,3,1085340.0361902067
3,8,32,3,1085340.0361902067
3,9,33,3,1085340.0361902067
3,10,34,4,1738986.9326538504
3,11,35,4,1738986.9326538504
3,12,36,4,1738986.9326538504
