produit,prix_vente,cout_achat,transport_achat,commission,avantages_sociaux,frais_livraison,honoraires,total_couts_directs,marge_unitaire,marge_volume_semestre,marge_volume_croisiere,taux_marge,part_marge_semestre,part_marge_croisiere
P1,10.87,6.75,0.66,0.16304999999999997,0.03964905238200516,0.0,0.01087,7.623569052382005,3.246430947617994,458753.15720789874,1543789.3873769979,0.2986597007928238,0.005227314288918276,0.005460042675243429
P2,21.74,13.5,0.825,0.32609999999999995,0.07929810476401032,0.0,0.02174,14.75213810476401,6.987861895235989,2324316.599317185,7788504.429883498,0.32142879002925434,0.026484686112088214,0.02754622289232095
P3,35.02,20.0,2.475,0.5253,0.12773779341470295,0.0,0.03502,23.163057793414705,11.856942206585298,1443755.113591444,4486591.2746000355,0.3385763051566333,0.01645102952731339,0.01586808409618168
P4,42.26,29.0,1.8333333333333333,0.6338999999999999,0.15414617788992993,0.0,0.04226,31.663639511223263,10.596360488776735,3224175.798641075,10702565.679122647,0.2507420844481007,0.03673823265827281,0.037852615013692255
P5,59.17,35.0,2.75,0.88755,0.21582653444740071,0.0,0.05917,38.9125465344474,20.2574534655526,14082745.244770227,47579040.550397806,0.34236020729343586,0.16046741976278614,0.16827657579231026
P6,64.0,42.0,3.3,0.96,0.23344428265394027,0.0,0.064,46.55744428265394,17.44255571734606,1809560.5003403497,5456995.462844352,0.2725399330835322,0.02061924002368119,0.019300189746973433
P7,82.11,54.0,3.208333333333333,1.23165,0.29950171951117244,2.625,0.08211,61.44659505284451,20.66340494715549,10271653.378997015,34808482.20163989,0.2516551570716781,0.1170415061678017,0.12310992667485735
P8,85.73,59.0,6.6,1.28595,0.3127059117487859,5.4,0.08573,72.68438591174878,13.045614088251227,20796657.219136536,70189627.75311168,0.15217093302520968,0.23696984257279366,0.248245237352349
P9,108.68,66.0,2.0625,1.6302,0.3964175724817224,1.6875,0.10868000000000001,71.88529757248173,36.794702427518274,17099075.15900181,50955456.360351555,0.33856001497532456,0.19483732918579405,0.1802182140510348
P10,107.47,69.0,2.75,1.61205,0.39200401651279626,0.0,0.10747,73.8615240165128,33.608475983487196,10069985.324079689,33956603.3681511,0.3127242577787959,0.11474357690339348,0.12009701907035032
P11,36.23,22.0,2.475,0.5434499999999999,0.132151349383629,0.0,0.03623,25.18683134938363,11.043168650616366,423499.49922422296,988152.3907753589,0.304807304736858,0.004825612530098134,0.003494877129868311
P12,63.4,43.0,6.416666666666666,0.951,0.23125574250405959,0.0,0.0634,50.66232240917073,12.737677590829271,2398479.21499797,5949212.838323603,0.2009097411802724,0.02732974035217497,0.021041054075740015
P13,99.62,65.0,4.583333333333333,1.4943,0.3633706162185239,0.0,0.09962,71.54062394955184,28.07937605044816,3358119.564295848,8338077.43280145,0.2818648469227882,0.03826446991488402,0.029489941429078136
