controle,recalcule,classeur,ecart,statut
Effectif de l'échantillon Abus inc.,225.0,225.0,0.0,ok
Effectif de l'échantillon beaucerons,150.0,150.0,0.0,ok
Effectif de l'échantillon Kansas Vamal,2330.0,2330.0,0.0,ok
Somme des effectifs par classe d'ancienneté,225.0,225.0,0.0,ok
Écart total entre les effectifs par classe et ceux du classeur,0.0,0.0,0.0,ok
Libellés de classes ne nommant pas les bornes réelles,0.0,0.0,0.0,ok
Ancienneté moyenne,12.580914666666665,12.580914666666665,0.0,ok
Écart-type de l'ancienneté,3.8349052458619215,3.8349052458619344,1.2878587085651816e-14,ok
Coefficient de variation,0.30481927168797707,0.30481927168797807,9.992007221626409e-16,ok
Médiane de l'ancienneté,12.5772,12.5772,0.0,ok
Nombre total d'actes de rébellion,146.0,146.0,0.0,ok
Actes de type « attitude négative »,76.0,76.0,0.0,ok
Coefficient de corrélation,-0.7256313005359797,-0.7256313005359797,0.0,ok
Pente de la droite de régression,-1.9213068029370939,-1.9213068029370939,0.0,ok
Coefficient de détermination,0.5265407843175373,0.5265407843175371,1.1102230246251565e-16,ok
"Prédiction à 20,55 années",8.448942135880444,8.448942135880444,0.0,ok
Prédiction à 42 années,-32.76308878712022,-32.76308878712022,0.0,ok
Khi-deux d'indépendance calculé,5.315476792970608,5.315476792970608,0.0,ok
Khi-deux critique (seuil 10 %),2.7055434540954133,2.705543454095414,8.881784197001252e-16,ok
Effectif « femmes sans acte » du tableau croisé,52.0,52.0,0.0,ok
Total du tableau croisé,225.0,225.0,0.0,ok
Marge d'erreur du classeur,0.3790046954226722,0.37900469542267357,1.3877787807814457e-15,ok
Borne supérieure du classeur,12.959919362089337,12.95991936208934,1.7763568394002505e-15,ok
Facteur de correction appliqué par le classeur,0.6831300510639732,0.6831300510639756,2.4424906541753444e-15,ok
Effectifs observés par classe de salaire,150.0,150.0,0.0,ok
Khi-deux d'ajustement calculé,10.38637258554563,10.386372585545603,2.6645352591003757e-14,ok
Khi-deux critique d'ajustement,12.591587243743977,12.591587243743978,1.7763568394002505e-15,ok
Effectif théorique minimal (condition T ≥ 5),6.465043610144683,6.465043610144672,1.0658141036401503e-14,ok
Effectif du sous-échantillon expérimenté,108.0,108.0,0.0,ok
Salaire moyen du sous-échantillon,40614.64481481482,40614.64481481482,0.0,ok
Erreur type du salaire moyen,674.377587322007,674.3775873220006,6.366462912410498e-12,ok
Valeur critique du test sur la moyenne,42890.747579558614,42890.74757955862,7.275957614183426e-12,ok
Pièces non conformes dénombrées,17.0,17.0,0.0,ok
Proportion observée de non-conformes,0.007296137339055794,0.007296137339055794,0.0,ok
Erreur type de la proportion,0.14612300068939216,0.14612300068939216,0.0,ok
Valeur critique du test sur la proportion,0.7271881830351247,0.7271881830351247,0.0,ok
