sexe,anciennete,jours_absence,aucun_acte,attitude_negative,refus_autorite,bris_intentionnels,agression,harcelement,total_actes,rebelle
Femme,11.3764,26,1,0.0,0,0,0,0,0,False
Homme,10.326,29,0,0.0,2,0,0,0,2,True
Homme,12.5166,25,1,0.0,0,0,0,0,0,False
Femme,14.12,26,1,0.0,0,0,0,0,0,False
Femme,14.0055,23,1,0.0,0,0,0,0,0,False
Femme,16.3424,0,1,0.0,0,0,0,0,0,False
Homme,17.2561,15,0,4.0,0,0,0,0,4,True
Homme,11.1588,29,1,0.0,0,0,0,0,0,False
Homme,14.0886,21,1,,0,0,0,0,0,False
Homme,13.0914,24,1,0.0,0,0,0,0,0,False
Homme,12.2659,25,1,0.0,0,0,0,0,0,False
Homme,13.4942,21,1,0.0,0,0,0,0,0,False
Homme,21.7245,9,1,0.0,0,0,0,0,0,False
Homme,8.3959,30,0,5.0,0,0,0,0,5,True
Femme,15.1779,17,1,0.0,0,0,0,0,0,False
Homme,5.6805,44,1,0.0,0,0,0,0,0,False
Femme,6.7933,33,0,0.0,0,2,0,0,2,True
Femme,9.2334,31,1,0.0,0,0,0,0,0,False
Femme,13.4853,26,1,0.0,0,0,0,0,0,False
Homme,17.4498,18,1,0.0,0,0,0,0,0,False
Femme,16.1817,16,0,0.0,0,0,0,2,2,True
Homme,16.3375,20,1,0.0,0,0,0,0,0,False
Femme,11.2681,25,1,0.0,0,0,0,0,0,False
Femme,11.8916,25,1,0.0,0,0,0,0,0,False
Femme,13.0614,24,1,0.0,0,0,0,0,0,False
Femme,6.0372,40,1,0.0,0,0,0,0,0,False
Homme,10.7462,34,0,0.0,0,1,0,0,1,True
Homme,8.5604,33,1,0.0,0,0,0,0,0,False
Homme,10.6053,30,1,0.0,0,0,0,0,0,False
Homme,9.1947,30,1,0.0,0,0,0,0,0,False
Femme,19.9405,10,1,0.0,0,0,0,0,0,False
Homme,14.2338,26,1,0.0,0,0,0,0,0,False
Homme,10.78,34,1,0.0,0,0,0,0,0,False
Homme,16.0042,0,1,0.0,0,0,0,0,0,False
Femme,14.9722,18,1,0.0,0,0,0,0,0,False
Homme,13.1574,21,1,0.0,0,0,0,0,0,False
Homme,15.0655,21,1,0.0,0,0,0,0,0,False
Homme,11.1943,29,0,5.0,0,0,0,0,5,True
Femme,13.3028,25,1,0.0,0,0,0,0,0,False
Femme,12.2003,27,1,0.0,0,0,0,0,0,False
Homme,13.4094,0,0,4.0,0,0,0,2,6,True
Homme,5.9664,39,1,0.0,0,0,0,0,0,False
Homme,17.8451,19,0,0.0,0,0,0,1,1,True
