salaire,experience
11418.710000000001,2
14077.17,3
20412.25,3
17613.4,4
18744.54,4
21135.99,4
25494.510000000002,5
23026.85,5
24464.49,5
21940.13,5
27339.879999999997,6
26555.71,6
20757.12,6
19158.12,6
26792.359999999997,6
29239.289999999997,7
28247.969999999998,7
26136.95,7
29053.2,7
30118.18,8
31202.9,8
30078.44,8
26578.260000000002,8
29980.79,8
32080.760000000002,9
30677.61,9
31357.530000000002,9
31900.100000000002,9
29881.44,9
33137.490000000005,9
24398.15,9
32212.690000000002,9
31681.32,9
30727.649999999998,9
27081.010000000002,9
31312.69,9
32864.25,10
34245.03,10
32498.41,10
34247.2,10
28998.31,10
33096.05,10
36884.61,11
28677.280000000002,11
34106.41,11
33063.42,11
33908.42,11
32749.95,11
32226.81,11
36294.63,11
35296.46,11
31558.64,12
33249.99,12
35912.100000000006,12
36357.07,12
30613.11,12
31886.47,12
34419.170000000006,12
36848.469999999994,12
34516.8,12
36420.96000000001,12
38232.25,12
38740.83,12
37684.700000000004,12
33801.36,12
39073.94,13
32890.75,13
35049.950000000004,13
31779.989999999998,13
34632.99,13
36077.240000000005,13
33706.240000000005,13
33372.76,13
34215.66,13
37738.25,13
39720.77,13
40602.89,13
38220.549999999996,13
35239.93,13
38326.39,13
33866.26,13
33777.93,14
40416.37,14
36654.46,14
41825.55,14
40941.78,14
36617.35,14
38480.32,14
35698.509999999995,14
41659.1,14
36593.259999999995,14
42678.12,14
34232.79,14
42669.799999999996,14
37985.719999999994,15
43083.060000000005,15
43292.96000000001,15
43439.619999999995,15
39953.67,15
39892.53,15
42644.5,15
43214.97,15
37187.91,15
36523.32,15
35975.200000000004,15
43257.799999999996,15
38631.43,15
35325.990000000005,15
37284.67,15
46463.35999999999,16
42090.08,16
37893.549999999996,16
39090.27,16
39460.3,16
44898.200000000004,16
41496.619999999995,16
41297.219999999994,17
48463.08,17
45015.05,17
41740.92,17
40413.27,17
43877.35,17
47999.630000000005,17
41500.21,17
40523.26,17
43463.43,17
43369.159999999996,17
39851.619999999995,17
48827.1,18
42028.049999999996,18
46160.420000000006,18
42130.8,18
43163.32,18
44212.259999999995,18
49527.96,18
51328.11,19
43248.19,19
47804.39,19
48033.35,20
49630.16,20
45970.75,20
48634.420000000006,21
52010.23,21
49868.479999999996,21
51704.83,21
55239.24,22
54491.189999999995,23
63148.46,28
60080.15,28
72330.04,34
