no_achat	date_commande	date_prevue	date_reception	code_fournisseur	code_article	quantite	cout_unitaire	statut
ACH-70001	2024-01-13	2024-01-20	2024-01-20	FRN-001	BD-1097	-3	210,05 $	Recue
ACH-70001	2024-01-13	2024-01-20	2024-01-20	FRN-001	BD-1066	60	199,26 $	Recue
ACH-70001	2024-01-13	2024-01-20	2024-01-20	FRN-001	BD-1046	60	308,91 $	Recue
ACH-70001	2024-01-13	2024-01-20	2024-01-20	FRN-001	BD-1092	96	140,04 $	Recue
ACH-70002	2024-02-02	2024-02-09	2024-02-09	FRN-001	BD-1030	12	98,88 $	Recue
ACH-70002	2024-02-02	2024-02-09	2024-02-09	FRN-001	BD-1093	96	132,18 $	Recue
ACH-70002	2024-02-02	2024-02-09	2024-02-09	FRN-001	BD-1084	120	312,00 $	Recue
ACH-70003	2024-02-18	2024-02-25	2024-02-25	FRN-001	BD-1095	24	53,64 $	Recue
ACH-70003	2024-02-18	2024-02-25	2024-02-25	FRN-001	BD-1057	96	19,26 $	Recue
ACH-70003	2024-02-18	2024-02-25	2024-02-25	FRN-001	BD-1057	12	19,26 $	Recue
ACH-70003	2024-02-18	2024-02-25	2024-02-25	FRN-001	BD-1068	36	284,28 $	Recue
ACH-70004	2024-03-02	2024-03-09	2024-03-09	FRN-001	BD-1080	24	173,12 $	Recue
ACH-70005	2024-03-21	2024-03-28	2024-04-11	FRN-001	BD-1066	24	199,26 $	Recue
ACH-70005	2024-03-21	2024-03-28	2024-04-11	FRN-001	BD-1083	96	157,14 $	Recue
ACH-70006	2024-04-01	2024-04-08	2024-04-08	FRN-001	BD-1075	36	59,74 $	Recue
ACH-70006	2024-04-01	2024-04-08	2024-04-08	FRN-001	BD-1021	60	201,55 $	Recue
ACH-70007	2024-04-13	2024-04-20	2024-04-24	FRN-001	BD-1075	36	59,74 $	Recue
ACH-70007	2024-04-13	2024-04-20	2024-04-24	FRN-001	BD-1081	60	302,82 $	Recue
ACH-70007	2024-04-13	2024-04-20	2024-04-24	FRN-001	BD-1069	12	198,50 $	Recue
ACH-70007	2024-04-13	2024-04-20	2024-04-24	FRN-001	BD-1008	36	128,94 $	Recue
ACH-70007	2024-04-13	2024-04-20	2024-04-24	FRN-001	BD-1074	240	108,27 $	Recue
ACH-70008	2024-05-02	2024-05-09	2024-05-09	FRN-001	BD-1046	120	308,91 $	Recue
ACH-70009	2024-05-16	2024-05-23	2024-05-23	FRN-001	BD-1074	48	108,27 $	Recue
ACH-70009	2024-05-16	2024-05-23	2024-05-23	FRN-001	BD-1085	240	40,90 $	Recue
ACH-70009	2024-05-16	2024-05-23	2024-05-23	FRN-001	BD-1067	24	23,77 $	Recue
ACH-70009	2024-05-16	2024-05-23	2024-05-23	FRN-001	BD-1095	48	53,64 $	Recue
ACH-70010	2024-05-29	2024-06-05	2024-06-30	FRN-001	BD-1068	24	284,28 $	Recue
