sku,designation,famille,code_fournisseur,cout_standard,prix_liste,poids_kg
BD-1001,Chaise pliante Taiga XT,Camping,FRN-001,"182,30","335,22","6,15"
BD-1002,Lanterne Alpin 300,Camping,FRN-012,"292,58","468,48","3,94"
BD-1003,Glaciere Expedition Pro,Camping,FRN-001,"188,61","298,18","13,14"
BD-1004,Chaise pliante Grand-Nord Lite,Camping,FRN-021,"155,56","274,10","7,82"
BD-1005,Rechaud Sentier 100,Camping,FRN-012,"204,06","326,96","6,42"
BD-1006,Rechaud Escarpement Lite,Camping,FRN-002,"178,72","334,77","7,11"
BD-1007,Matelas gonflable Nordet 200,Camping,FRN-012,"55,96","103,33","9,23"
BD-1008,Lanterne Cap-Nord XT,Camping,FRN-001,"128,94","233,87","4,61"
BD-1009,Sac de couchage Cap-Nord XT,Camping,FRN-015,"66,28","105,17","5,93"
BD-1010,Hamac Alpin Lite,Camping,FRN-015,"87,08","163,01","7,88"
BD-1011,Popote Sentier 300,Camping,FRN-002,"288,46","525,21","1,87"
BD-1012,Rechaud Nordet 300,Camping,FRN-012,"68,19","121,72","0,10"
BD-1013,Bache Sommet 100,Camping,FRN-002,"308,85","516,23","2,91"
BD-1014,Glaciere Grand-Nord XT,Camping,FRN-012,"26,62","44,69","0,28"
BD-1015,Glaciere Portage Pro,Camping,FRN-012,"318,69","531,03","12,34"
BD-1016,Tente Sommet XT,Camping,FRN-021,"219,41","413,29","8,92"
BD-1017,Chaise pliante Alpin Pro,Camping,FRN-015,"307,26","563,77","1,20"
BD-1018,Hamac Nordet Pro,Camping,FRN-012,"242,09","464,83","6,92"
BD-1019,Popote Nordet Pro,Camping,FRN-001,"170,21","301,03","5,91"
BD-1020,Chaise pliante Portage Pro,Camping,FRN-012,"32,44","57,47","2,11"
BD-1021,Lanterne Alpin 200,Camping,FRN-001,"201,55","363,70","6,60"
BD-1022,Popote Expedition 100,Camping,FRN-001,"247,74","454,46","6,02"
BD-1023,Glaciere Escarpement Pro,Camping,FRN-021,"239,29","377,47","2,48"
BD-1024,Sac de couchage Boreal Pro,Camping,FRN-015,"185,46","334,16","11,84"
BD-1025,Lanterne Expedition Pro,Camping,FRN-002,"146,28","233,82","2,92"
BD-1026,Lanterne Escarpement 300,Camping,FRN-021,"241,74","438,34","12,09"
BD-1027,Bache Sommet 200,Camping,FRN-002,"249,72","458,11","13,08"
BD-1028,Glaciere Escarpement Pro,Camping,FRN-015,"140,77","236,43","7,42"
BD-1029,Sac de couchage Alpin XT,Camping,FRN-002,"238,44","391,87","12,40"
BD-1030,Popote Sentier Lite,Camping,FRN-001,"98,88","183,05","2,98"
BD-1031,Bache Sentier XT,Camping,FRN-002,"294,44","519,45","5,95"
BD-1032,Popote Nordet Pro,Camping,FRN-001,"339,97","547,39","0,56"
BD-1033,Lanterne Sentier 100,Camping,FRN-021,"0,00","187,38","1,99"
BD-1034,Sac de couchage Nordet XT,Camping,FRN-001,"151,89","237,54","12,96"
BD-1035,Trousse premiers soins Boreal 200,Randonnée,FRN-019,"30,00","48,38","9,13"
BD-1036,Gourde Sommet 300,Randonnée,FRN-001,"159,06","256,78","11,52"
BD-1037,Lampe frontale Expedition XT,Randonnée,FRN-014,"16,31","29,92","2,35"
BD-1038,Trousse premiers soins Expedition XT,Randonnée,FRN-014,"313,36","551,80","12,97"
BD-1039,Boussole Escarpement 200,Randonnée,FRN-014,"119,66","197,97","6,67"
BD-1040,Sac a dos Nordet XT,Randonnée,FRN-019,"268,77","440,75","12,42"
BD-1041,Bottes Alpin 200,Randonnée,FRN-014,"159,88","253,51","11,38"
BD-1042,Boussole Grand-Nord Lite,Randonnée,FRN-005,"261,53","441,32","3,79"
BD-1043,Batons Taiga Lite,Randonnée,FRN-019,"294,10","527,77","13,58"
BD-1044,Batons Boreal 300,Randonnée,FRN-005,"195,45","323,04","4,20"
BD-1045,Gourde Portage XT,Randonnée,FRN-014,"76,76","131,07","9,03"
BD-1046,Bottes Traverse XT,Randonnée,FRN-001,"308,91","477,29","3,62"
BD-1047,Trousse premiers soins Escarpement 200,Randonnée,FRN-019,"70,06","106,59","9,05"
BD-1048,Gourde Taiga Pro,Randonnée,FRN-019,"32,82","51,20","6,62"
BD-1049,Lampe frontale Sommet Pro,Randonnée,FRN-014,"30,58","54,64","4,51"
BD-1050,Boussole Grand-Nord Pro,Randonnée,FRN-005,"291,69","504,13","11,10"
BD-1051,Bottes Sommet Lite,Randonnée,FRN-019,"78,12","129,68","13,08"
BD-1052,Sac a dos Taiga Lite,Randonnée,FRN-005,"179,27","307,06","5,65"
BD-1053,Guetres Taiga XT,Randonnée,FRN-014,"176,84","327,17","2,65"
BD-1054,Bottes Nordet Lite,Randonnée,FRN-005,"257,53","465,90","4,78"
BD-1055,Gourde Traverse 100,Randonnée,FRN-005,"209,35","328,43","2,72"
BD-1056,Sac a dos Escarpement 100,Randonnée,FRN-019,"287,11","491,84","5,97"
BD-1057,Batons Traverse 300,Randonnée,FRN-001,"19,26","29,84","0,69"
BD-1058,Batons Expedition 300,Randonnée,FRN-019,"146,46","244,83","6,97"
BD-1059,Trousse premiers soins Escarpement Lite,Randonnée,FRN-001,"324,94","527,33","12,98"
BD-1060,Sac a dos Traverse 100,Randonnée,FRN-001,"241,90","395,77","10,18"
BD-1061,Boussole Escarpement Lite,Randonnée,FRN-019,"75,23","118,13","4,83"
BD-1062,Boussole Boreal XT,Randonnée,FRN-001,"112,54","179,69","6,92"
BD-1063,Guetres Sommet 100,Randonnée,FRN-014,"242,15","368,34","0,55"
BD-1064,Trousse premiers soins Taiga XT,Randonnée,FRN-005,"69,43","125,27","12,62"
BD-1065,Cagoule Escarpement 300,Vêtements techniques,FRN-001,"128,81","249,38","4,48"
BD-1066,Coquille impermeable Alpin Lite,Vêtements techniques,FRN-001,"199,26","344,47","11,07"
BD-1067,Manteau isole Traverse XT,Vêtements techniques,FRN-001,"23,77","41,60","12,07"
BD-1068,Pantalon coque Sommet XT,Vêtements techniques,FRN-001,"284,28","563,92","3,53"
BD-1069,Gants isoles Expedition 200,Vêtements techniques,FRN-001,"198,50","398,77","9,14"
BD-1070,Pantalon coque Alpin XT,Vêtements techniques,FRN-001,"39,88","76,19","1,44"
BD-1071,Pantalon coque Expedition Pro,Vêtements techniques,FRN-001,"301,72","533,74","5,23"
BD-1072,Coquille impermeable Alpin 100,Vêtements techniques,FRN-001,"196,62","395,76","13,22"
BD-1073,Sous-vetement merinos Cap-Nord 300,Vêtements techniques,FRN-001,"255,00","449,77","10,97"
BD-1074,Manteau isole Escarpement XT,Vêtements techniques,FRN-001,"108,27","194,17","2,30"
BD-1075,Chandail polaire Portage XT,Vêtements techniques,FRN-001,"0,00","100,76","11,83"
BD-1076,Coquille impermeable Portage 300,Vêtements techniques,FRN-001,"281,11","561,00","6,26"
BD-1077,Sous-vetement merinos Cap-Nord 200,Vêtements techniques,FRN-018,"167,57","341,88","5,62"
BD-1078,Manteau isole Alpin 300,Vêtements techniques,FRN-001,"197,64","383,40","10,13"
BD-1079,Manteau isole Cap-Nord Lite,Vêtements techniques,FRN-018,"144,83","263,70","7,46"
BD-1080,Cagoule Taiga Pro,Vêtements techniques,FRN-001,"173,12","330,63","8,03"
BD-1081,Gants isoles Expedition XT,Vêtements techniques,FRN-001,"302,82","593,11","12,40"
BD-1082,Coquille impermeable Portage XT,Vêtements techniques,FRN-001,"278,39","475,26","8,25"
BD-1083,Gants isoles Expedition XT,Vêtements techniques,FRN-001,"157,14","307,20","9,16"
BD-1084,Cagoule Escarpement Pro,Vêtements techniques,FRN-001,"312,00","580,62","5,14"
BD-1085,Cagoule Sentier 200,Vêtements techniques,FRN-001,"40,90","67,20","7,33"
BD-1086,Cagoule Taiga 100,Vêtements techniques,FRN-001,"80,72","137,75","6,17"
BD-1087,Coquille impermeable Cap-Nord Pro,Vêtements techniques,FRN-018,"211,22","385,75","2,82"
BD-1088,Gants isoles Escarpement XT,Vêtements techniques,FRN-001,"335,85","629,82","2,14"
