Mois;Categorie;Entrepot;Montant
12/2025;HONORAIRES PROFESSIONNELS;ENT-QC;3452,78
11/2025;Honoraires professionnels;ENT-QC;2805,52
05/2025;ÉNERGIE;ENT-SAG;2386,39
10/2025;transport et livraison;ENT-MTL;19308,71
08/2024;loyer;ENT-SAG;8900,00
01/2025;Honoraires professionnels;ENT-QC;3144,91
04/2025;ASSURANCES;ENT-SAG;1255,52
01/2025;télécommunications;ENT-MTL;785,16
09/2024;loyer;ENT-QC;14200,00
08/2024;Entretien et réparations;ENT-SAG;865,00
11/2025;LOYER;ENT-QC;14682,80
07/2024;télécommunications;ENT-SAG;399,17
12/2025;TRANSPORT ET LIVRAISON;ENT-QC;8198,25
04/2025;TÉLÉCOMMUNICATIONS;ENT-SAG;406,51
11/2025;TRANSPORT ET LIVRAISON;ENT-QC;11788,71
07/2024;fournitures de bureau;ENT-SAG;313,73
02/2024;transport et livraison;ENT-MTL;7984,51
12/2024;Assurances;ENT-SAG;1205,10
04/2024;assurances;ENT-QC;1819,62
01/2024;fournitures de bureau;ENT-MTL;565,77
04/2025;TÉLÉCOMMUNICATIONS;ENT-QC;611,00
10/2024;Transport et livraison;ENT-QC;16388,09
05/2024;transport et livraison;ENT-SAG;6258,02
07/2024;loyer;ENT-SAG;8900,00
06/2025;LOYER;ENT-QC;14682,80
06/2025;ASSURANCES;ENT-MTL;2505,92
03/2024;énergie;ENT-MTL;3940,47
07/2025;TRANSPORT ET LIVRAISON;ENT-QC;8069,69
10/2024;ASSURANCES;ENT-SAG;1217,27
02/2024;Télécommunications;ENT-QC;603,27
09/2024;télécommunications;ENT-SAG;393,33
11/2025;TRANSPORT ET LIVRAISON;ENT-SAG;4795,80
08/2024;Énergie;ENT-QC;3024,90
05/2025;fournitures de bureau;ENT-MTL;682,48
03/2024;Loyer;ENT-MTL;21500,00
02/2024;loyer;ENT-QC;14200,00
10/2025;LOGICIELS ET TI;ENT-QC;3162,19
04/2024;Assurances;ENT-MTL;2370,90
02/2024;Énergie;ENT-QC;3138,77
05/2024;ENTRETIEN ET RÉPARATIONS;ENT-QC;1529,82
08/2024;ENTRETIEN ET RÉPARATIONS;ENT-QC;1211,05
10/2024;TÉLÉCOMMUNICATIONS;ENT-QC;624,46
12/2024;Entretien et réparations;ENT-SAG;1017,39
06/2025;transport et livraison;ENT-SAG;5563,46
06/2024;fournitures de bureau;ENT-SAG;345,22
03/2025;Énergie;ENT-SAG;2472,50
09/2025;TÉLÉCOMMUNICATIONS;ENT-QC;663,37
03/2024;FOURNITURES DE BUREAU;ENT-MTL;587,19
07/2025;télécommunications;ENT-QC;632,62
05/2024;assurances;ENT-QC;1854,08
02/2025;loyer;ENT-MTL;22231,00
02/2024;assurances;ENT-SAG;1187,52
09/2024;Loyer;ENT-SAG;8900,00
07/2024;Télécommunications;ENT-MTL;761,64
04/2024;FOURNITURES DE BUREAU;ENT-MTL;635,75
05/2025;Transport et livraison;ENT-SAG;5657,41
03/2025;loyer;ENT-MTL;22231,00
05/2024;LOGICIELS ET TI;ENT-QC;3028,47
08/2024;entretien et réparations;ENT-MTL;2225,74
10/2025;télécommunications;ENT-SAG;441,56
08/2024;télécommunications;ENT-SAG;417,86
01/2025;TRANSPORT ET LIVRAISON;ENT-SAG;2752,43
08/2024;transport et livraison;ENT-MTL;14383,84
01/2025;LOYER;ENT-SAG;9202,60
07/2024;énergie;ENT-SAG;2167,58
09/2025;Transport et livraison;ENT-QC;17111,67
07/2024;entretien et réparations;ENT-SAG;846,68
09/2025;Assurances;ENT-SAG;1226,80
06/2025;transport et livraison;ENT-QC;10933,30
06/2025;ENTRETIEN ET RÉPARATIONS;ENT-SAG;752,99
12/2024;TÉLÉCOMMUNICATIONS;ENT-MTL;784,29
11/2025;FOURNITURES DE BUREAU;ENT-QC;478,90
11/2024;fournitures de bureau;ENT-QC;495,41
07/2024;Honoraires professionnels;ENT-QC;3109,75
09/2024;TRANSPORT ET LIVRAISON;ENT-SAG;7354,44
10/2024;FOURNITURES DE BUREAU;ENT-MTL;555,17
09/2024;ÉNERGIE;ENT-QC;2746,19
02/2024;télécommunications;ENT-MTL;753,57
05/2025;LOYER;ENT-MTL;22231,00
06/2025;ÉNERGIE;ENT-MTL;4443,34
07/2025;TRANSPORT ET LIVRAISON;ENT-MTL;10099,42
03/2025;LOYER;ENT-QC;14682,80
12/2025;TÉLÉCOMMUNICATIONS;ENT-QC;665,42
11/2024;ÉNERGIE;ENT-SAG;2271,40
01/2025;LOYER;ENT-QC;14682,80
06/2025;entretien et réparations;ENT-MTL;2136,70
04/2024;Transport et livraison;ENT-QC;9972,01
10/2024;entretien et réparations;ENT-SAG;865,46
05/2024;Assurances;ENT-MTL;2419,78
11/2024;ÉNERGIE;ENT-SAG;2271,40
01/2024;TÉLÉCOMMUNICATIONS;ENT-MTL;789,04
01/2025;énergie;ENT-MTL;3903,82
07/2024;logiciels et ti;ENT-QC;3096,00
02/2024;Énergie;ENT-QC;3138,77
12/2024;Entretien et réparations;ENT-QC;1703,31
