NO COMMANDE;DATE COMMANDE;DATE LIVRAISON;DATE PAIEMENT;CODE CLIENT;REPRESENTANT;ENTREPOT;CODE ARTICLE;QTE;PRIX UNITAIRE;REMISE %;COUT UNITAIRE;CANAL DE VENTE
CMD-101480;2024-09-04;11/09/2024;14/10/2024;CLI-0012;EMP-501;ENT-QC;BD-1070;14;57,68;24,30;39,88;Représentant
CMD-100175;21/02/2024;23/02/2024;2024-03-25;CLI-0034;EMP-507;ENT-QC;BD-1066;4;306,85;10,90;199,26;Portail web
CMD-102084;12-nov-24;15/11/2024;13/12/2024;CLI-0185;EMP-508;ENT-QC;BD-1139;6;288,49;19,60;198,93;Représentant
CMD-100660;08/05/2024;12/05/2024;2024-07-03;CLI-0076;EMP-507;ENT-SAG;BD-1098;3;330,66;25,00;257,11;Courriel
CMD-100144;12/02/2024;2024-02-18;;CLI-0084;EMP-503;ENT-SAG;BD-1170;3;31,43;10,60;16,60;Courriel
CMD-102320;2024-12-30;03/01/2025;06/02/2025;CLI-0011;EMP-507;ENT-QC;BD-1080;3;319,79;3,30;173,12;Représentant
CMD-101552;2024-09-11;20/09/2024;24/10/2024;CLI-0094;EMP-502;ENT-MTL;BD-1100;6;501,65;6,50;306,44;Téléphone
CMD-102281;17/12/2024;19/12/2024;2025-02-01;CLI-0062;EMP-507;ENT-MTL;BD-1067;6;35,76;14,00;23,77;Représentant
CMD-100747;20-mai-24;28/05/2024;;CLI-0127;EMP-503;ENT-MTL;BD-1030;3;162,58;11,20;98,88;Téléphone
CMD-101179;30/07/2024;07/08/2024;03/09/2024;CLI-0212;EMP-507;ENT-QC;BD-1062;12;140,91;21,60;112,54;Représentant
CMD-100114;02/02/2024;05/02/2024;2024-03-02;CLI-0090;EMP-505;ENT-MTL;BD-1046;6;420,44;11,90;308,91;Téléphone
CMD-100384;29/03/2024;2024-04-04;15/05/2024;CLI-0141;EMP-502;ENT-SAG;BD-1122;3;303,29;11,10;208,30;Téléphone
CMD-102167;23/11/2024;2024-11-28;22/12/2024;CLI-0164;EMP-509;ENT-QC;BD-1128;3;131,95;8,90;77,25;Représentant
CMD-100693;13/05/2024;21/05/2024;;CLI-0170;EMP-504;ENT-SAG;BD-1016;8;397,55;3,80;219,41;Représentant
CMD-102019;01/11/2024;2024-11-08;04/01/2025;CLI-0076;EMP-507;ENT-SAG;BD-1078;10;291,13;24,10;197,64;Portail web
CMD-101528;10/09/2024;17-sept-24;31/10/2024;cli-0047;EMP-508;ENT-QC;BD-1083;12;268,46;12,60;157,14;Téléphone
CMD-101419;29/08/2024;2024-09-02;12/09/2024;CLI-0063;EMP-503;ENT-MTL;BD-1035;1;40,19;16,90;30,00;Téléphone
CMD-101934;23-oct-24;27/10/2024;05/12/2024;CLI-0217;EMP-506;ENT-QC;BD-1130;34;420,07;25,60;317,23;Portail web
CMD-101632;19/09/2024;2024-09-21;29/11/2024;CLI-0128;EMP-502;ENT-SAG;BD-1092;24;243,34;13,80;140,04;Téléphone
CMD-102066;08/11/2024;15/11/2024;18/12/2024;CLI-0143;EMP-503;ENT-SAG;BD-1150;6;527,96;15,60;339,92;Portail web
CMD-100502;15/04/2024;24-avr-24;23/04/2024;CLI-0078;EMP-504;ENT-SAG;BD-1037;4;28,34;5,30;16,31;Représentant
CMD-101097;2024-07-11;19/07/2024;12/09/2024;CLI-0067;EMP-502;ENT-SAG;BD-1155;1;472,92;12,70;322,38;Représentant
CMD-101637;19-sept-24;23/09/2024;19/10/2024;CLI-0192;EMP-505;ENT-MTL;BD-1090;4;89,38;6,70;57,58;Téléphone
CMD-100956;18/06/2024;23/06/2024;2024-07-16;CLI-0074;EMP-507;ENT-MTL;BD-1059;19;398,36;24,50;324,94;Courriel
CMD-101688;26/09/2024;02/10/2024;07/10/2024;CLI-0217;EMP-506;ENT-MTL;BD-1052;13;236,27;23,10;179,27;Téléphone
CMD-100046;15/01/2024;20/01/2024;2024-02-08;CLI-0037;EMP-504;ENT-MTL;BD-1131;6;53,71;19,90;36,32;Courriel
CMD-100023;2024-01-08;15/01/2024;25/02/2024;CLI-0089;EMP-502;ENT-MTL;BD-1053;3;266,10;18,70;176,84;Représentant
CMD-102159;22-nov-24;26/11/2024;17/01/2025;CLI-0083;EMP-507;ENT-MTL;BD-1123;3;210,88;3,00;129,56;Représentant
CMD-100893;10/06/2024;17/06/2024;13-juil-24;CLI-0056;EMP-502;ENT-QC;BD-1121;10;61,49;21,00;43,73;Représentant
CMD-101203;01/08/2024;2024-08-03;19/09/2024;CLI-0121;EMP-508;ENT-QC;BD-1170;1;31,58;10,20;16,60;Représentant
CMD-101503;06/09/2024;12/09/2024;23-oct-24;CLI-0218;EMP-503;ENT-QC;BD-1085;6;62,82;6,50;40,90;Portail web
CMD-102010;31/10/2024;2024-11-08;25/11/2024;CLI-0206;EMP-503;ENT-SAG;BD-1179;6;379,69;12,00;226,59;Représentant
CMD-100816;29/05/2024;2024-05-31;10/07/2024;CLI-0164;EMP-509;ENT-QC;BD-1152;2;445,67;7,30;265,82;Représentant
CMD-101704;2024-09-27;01/10/2024;23/11/2024;CLI-0124;EMP-509;ENT-QC;BD-1115;4;69,89;6,40;46,26;Portail web
CMD-100801;27/05/2024;30/05/2024;07-juil-24;CLI-0187;EMP-507;ENT-MTL;BD-1090;8;81,94;14,50;57,58;Portail web
CMD-101037;29/06/2024;04-juil-24;19/08/2024;CLI-0090;EMP-505;ENT-MTL;BD-1023;24;337,86;10,50;239,29;Représentant
CMD-102125;18/11/2024;27/11/2024;22/12/2024;CLI-0175;EMP-505;ENT-MTL;BD-1056;4;448,17;8,90;287,11;Portail web
CMD-100377;29-mars-24;04/04/2024;20/04/2024;CLI-0177;EMP-505;ENT-QC;BD-1084;12;534,56;7,90;312,00;Représentant
CMD-100264;2024-03-09;14/03/2024;;CLI-0129;EMP-508;ENT-QC;BD-1157;4;47,88;8,50;24,69;Courriel
CMD-101246;07/08/2024;12/08/2024;05/10/2024;CLI-0137;EMP-503;ENT-QC;BD-1017;5;445,92;20,90;307,26;Portail web
CMD-100851;03/06/2024;08/06/2024;19/07/2024;CLI-0204;EMP-506;ENT-QC;BD-1122;8;325,65;4,60;208,30;Représentant
CMD-101826;10/10/2024;14/10/2024;2024-12-01;CLI-0212;EMP-507;ENT-QC;BD-1176;17;496,78;21,20;322,02;Portail web
CMD-100503;15-avr-24;24/04/2024;26/05/2024;CLI-0099;EMP-505;ENT-SAG;BD-1046;7;358,50;24,90;308,91;Représentant
CMD-100802;2024-05-27;30/05/2024;14/07/2024;CLI-0093;EMP-508;ENT-SAG;BD-1052;12;267,03;13,00;179,27;Portail web
CMD-101465;03/09/2024;08/09/2024;06-nov-24;CLI-0031;EMP-509;ENT-SAG;BD-1085;12;57,16;14,90;40,90;Portail web
CMD-100208;2024-02-29;06/03/2024;03/05/2024;CLI-0094;EMP-502;ENT-QC;BD-1053;3;298,48;8,80;176,84;Portail web
CMD-100215;01/03/2024;06/03/2024;04/04/2024;CLI-0018;EMP-503;ENT-QC;BD-1014;4;42,49;4,90;26,62;Courriel
CMD-100613;01/05/2024;08/05/2024;2024-06-25;CLI-0106;EMP-501;ENT-QC;BD-1123;8;182,80;16,00;129,56;Courriel
CMD-101375;23/08/2024;31/08/2024;2024-10-11;CLI-0045;EMP-502;ENT-QC;BD-1028;8;206,23;12,80;140,77;Représentant
CMD-100886;2024-06-07;09/06/2024;02/07/2024;CLI-0130;EMP-508;ENT-QC;BD-1059;32;398,16;24,50;324,94;Représentant
CMD-100472;11/04/2024;18-avr-24;15/06/2024;CLI-0203;EMP-503;ENT-QC;BD-1041;1;232,44;8,30;159,88;Représentant
