date_photo,code_entrepot,code_article,quantite_en_stock,cout_unitaire,seuil_minimum
2024-02-29,ENT-SAG,BD-1141,14,307.78,4
2025-03-31,ENT-SAG,BD-1136,16,112.45,5
2025-10-31,ENT-QC,BD-1028,13,143.73,14
2024-11-30,ENT-SAG,BD-1108,15,166.46,6
2024-01-31,ENT-SAG,BD-1141,16,307.78,4
2024-03-31,ENT-SAG,BD-1131,21,36.32,6
2024-12-31,ENT-SAG,BD-1169,38,276.47,6
2025-02-28,ENT-SAG,BD-1102,7,260.69,4
2025-07-31,ENT-SAG,BD-1172,26,221.22,5
2025-06-30,ENT-QC,BD-1061,91,76.81,18
2024-07-31,ENT-QC,BD-1152,12,265.82,10
2024-09-30,ENT-MTL,BD-1027,12,249.72,14
2024-10-31,ENT-MTL,BD-1118,0,336.11,12
2025-06-30,ENT-QC,BD-1178,35,119.43,17
2025-09-30,ENT-SAG,BD-1033,15,113.22,6
2024-06-30,ENT-MTL,BD-1107,60,147.44,13
2025-04-30,ENT-SAG,BD-1160,44,41.56,6
2024-08-31,ENT-MTL,BD-1066,39,199.26,9
2024-01-31,ENT-MTL,BD-1057,22,19.26,16
2025-10-31,ENT-MTL,BD-1056,12,293.14,18
2024-07-31,ENT-QC,BD-1034,63,151.89,13
2024-07-31,ENT-MTL,BD-1108,10,166.46,13
2025-09-30,ENT-MTL,BD-1029,13,243.45,10
2024-03-31,ENT-MTL,BD-1058,72,146.46,17
2025-10-31,ENT-QC,BD-1067,73,28.64,14
2024-04-30,ENT-QC,BD-1063,101,242.15,21
2025-11-30,ENT-SAG,BD-1080,61,208.57,5
2024-05-31,ENT-QC,BD-1060,99,241.90,17
2024-09-30,ENT-QC,BD-1167,22,205.42,13
2025-08-31,ENT-QC,BD-1083,65,189.32,11
2025-03-31,ENT-QC,BD-1146,9,225.52,14
2025-10-31,ENT-SAG,BD-1099,88,346.57,5
2024-09-30,ENT-QC,BD-1098,97,257.11,15
2025-05-31,ENT-MTL,BD-1169,29,282.28,13
2025-02-28,ENT-QC,BD-1018,10,247.17,6
2025-11-30,ENT-QC,BD-1017,14,313.71,14
2025-04-30,ENT-QC,BD-1078,5,201.79,9
2025-11-30,ENT-QC,BD-1008,11,155.34,10
2024-05-31,ENT-QC,BD-1157,42,24.69,13
2025-09-30,ENT-QC,BD-1106,3,340.08,14
2024-06-30,ENT-MTL,BD-1123,63,129.56,13
2025-08-31,ENT-MTL,BD-1182,27,58.06,13
2024-05-31,ENT-MTL,BD-1083,6,157.14,10
2025-05-31,ENT-MTL,BD-1067,14,28.64,13
2025-04-30,ENT-MTL,BD-1135,28,40.73,14
2024-02-29,ENT-SAG,BD-1074,15,108.27,5
2025-03-31,ENT-QC,BD-1008,9,131.65,10
2024-12-31,ENT-QC,BD-1079,12,144.83,12
2024-12-31,ENT-QC,BD-1036,27,159.06,19
2024-10-31,ENT-SAG,BD-1036,39,159.06,8
2024-03-31,ENT-MTL,BD-1157,28,24.69,12
2025-04-30,ENT-SAG,BD-1163,30,300.77,4
2025-01-31,ENT-QC,BD-1145,35,111.12,16
2025-06-30,ENT-SAG,BD-1050,117,297.82,8
2025-01-31,ENT-QC,BD-1180,45,95.30,15
2025-02-28,ENT-SAG,BD-1002,0,298.72,3
2025-06-30,ENT-SAG,BD-1141,21,314.24,4
2024-11-30,ENT-MTL,BD-9931,23,32.44,15
2024-12-31,ENT-SAG,BD-1055,18,209.35,7
2024-03-31,ENT-MTL,BD-1057,85,19.26,16
2025-08-31,ENT-QC,BD-1108,11,169.96,14
2025-02-28,ENT-QC,BD-1139,17,203.11,17
2025-04-30,ENT-SAG,BD-1028,94,143.73,6
2025-07-31,ENT-MTL,BD-1175,36,96.85,16
2024-11-30,ENT-QC,BD-1067,68,23.77,14
2025-09-30,ENT-MTL,BD-1023,7,244.32,13
2024-03-31,ENT-SAG,BD-1103,11,151.66,5
2025-04-30,ENT-QC,BD-1132,6,128.45,14
2025-05-31,ENT-QC,BD-1005,78,208.35,13
2025-04-30,ENT-SAG,BD-1136,9,112.45,5
2024-04-30,ENT-QC,BD-1147,17,339.78,10
2025-12-31,ENT-SAG,BD-1150,84,347.06,6
2025-01-31,ENT-SAG,BD-1037,39,16.65,9
2024-12-31,ENT-SAG,BD-1054,8,257.53,7
2024-01-31,ENT-SAG,BD-1016,19,219.41,4
2024-06-30,ENT-SAG,BD-1083,27,157.14,4
2025-01-31,ENT-MTL,BD-1032,14,347.11,12
2024-11-30,ENT-MTL,BD-1039,25,119.66,18
2024-12-31,ENT-MTL,BD-1095,9,53.64,7
2025-08-31,ENT-SAG,BD-1177,25,215.66,5
2024-06-30,ENT-QC,BD-1072,23,196.62,13
2025-01-31,ENT-QC,BD-1165,15,107.92,12
2025-10-31,ENT-MTL,BD-1109,4,310.20,10
2024-02-29,ENT-SAG,BD-1083,12,157.14,4
2024-04-30,ENT-QC,BD-1130,2,317.23,14
2024-04-30,ENT-SAG,BD-1126,60,130.29,5
2025-02-28,ENT-MTL,BD-1113,11,281.81,9
2025-04-30,ENT-SAG,BD-1089,1,160.95,5
2024-03-31,ENT-SAG,BD-1137,0,25.06,5
2024-02-29,ENT-SAG,BD-1179,31,226.59,5
2025-08-31,ENT-SAG,BD-1132,15,128.45,6
2024-03-31,ENT-QC,BD-1049,110,30.58,18
2024-11-30,ENT-MTL,BD-1067,57,23.77,13
2024-09-30,ENT-MTL,BD-1092,68,140.04,14
2025-04-30,ENT-SAG,BD-1051,124,79.76,8
2025-10-31,ENT-SAG,BD-1179,46,231.35,5
2025-10-31,ENT-SAG,BD-1127,79,174.31,6
2025-05-31,ENT-QC,BD-1106,62,340.08,14
2025-01-31,ENT-MTL,BD-1057,4,19.66,16
2025-08-31,ENT-QC,BD-1013,8,315.34,12
2024-06-30,ENT-QC,BD-1102,2,255.33,10
2025-09-30,ENT-QC,BD-1046,21,372.17,17
2024-10-31,ENT-QC,BD-1173,45,207.98,16
2024-06-30,ENT-QC,BD-1098,16,257.11,15
2025-09-30,ENT-MTL,BD-1043,10,300.28,14
2025-11-30,ENT-QC,BD-1041,3,163.24,16
2024-07-31,ENT-SAG,BD-1036,123,159.06,8
2024-06-30,ENT-MTL,BD-1156,14,161.25,11
2024-03-31,ENT-QC,BD-1127,16,170.72,15
2025-07-31,ENT-MTL,BD-1124,6,153.77,12
2025-12-31,ENT-SAG,BD-1148,86,302.28,5
2024-07-31,ENT-QC,BD-1015,78,318.69,14
2024-11-30,ENT-SAG,BD-1092,89,140.04,6
2024-08-31,ENT-SAG,BD-1108,17,166.46,6
2024-09-30,ENT-MTL,BD-1086,60,80.72,11
2024-08-31,ENT-QC,BD-1117,11,98.28,10
2024-03-31,ENT-QC,BD-1173,28,207.98,16
2025-07-31,ENT-MTL,BD-1086,13,97.25,11
2025-06-30,ENT-SAG,BD-1120,81,186.72,5
2024-12-31,ENT-QC,BD-1159,42,166.16,20
2024-01-31,ENT-MTL,BD-1068,15,284.28,12
2025-07-31,ENT-MTL,BD-1055,94,213.75,15
2025-02-28,ENT-SAG,BD-1124,1,153.77,5
2024-03-31,ENT-QC,BD-1125,16,285.25,12
2025-03-31,ENT-MTL,BD-1153,9,116.00,10
2025-06-30,ENT-MTL,BD-1146,2,225.52,14
2025-09-30,ENT-MTL,BD-1038,19,319.94,20
2025-01-31,ENT-QC,BD-1010,0,88.91,12
2024-06-30,ENT-MTL,BD-1069,12,198.50,11
