client_id,code,nom,type_commerce,ville,province,code_postal,segment,conditions_paiement,courriel,date_ouverture,fiches_fusionnees
1,CLI-0073,Aventure Hull Mauricie,Coopérative de plein air,Terrebonne,QC,J6B 0Y3,B,Net 60,achats@aventurehullmauricie.ca,2021-11-14,1
2,CLI-0003,Nature Saint-Laurent,Boutique en ligne,Val-d'Or,QC,K0Y 0R6,C,Net 45,achats@naturesaint-laurent.ca,2016-02-24,2
3,CLI-0128,Cap Nord Beauport Laurentides,Détaillant indépendant,Rimouski,QC,N2P 8J1,B,Net 30,achats@capnordbeauportlaurentides.ca,2017-06-26,1
4,CLI-0132,Le Portage Mauricie,Détaillant indépendant,Sudbury,ON,M1N 9P8,B,Net 30,achats@leportagemauricie.ca,2020-03-12,1
5,CLI-0083,Chalet Laurentides,Boutique en ligne,Kingston,ON,H5C 1Y3,C,Net 60,achats@chaletlaurentides.ca,2020-10-03,1
6,CLI-0106,Chalet Longueuil Enr.,Coopérative de plein air,Drummondville,QC,L1B 1X2,B,Net 45,achats@chaletlongueuilenr.ca,2022-07-28,1
7,CLI-0170,Grand Air Charlevoix,Coopérative de plein air,Montréal,QC,H1H 8G6,C,Net 30,achats@grandaircharlevoix.ca,2017-10-24,1
8,CLI-0153,Expédition Lachine du Nord,Boutique en ligne,Québec,QC,N4Y 9J4,B,Net 30,achats@expeditionlachinedunord.ca,2020-01-08,1
9,CLI-0213,Grand Air Verdun Cantons,Chaîne régionale,Fredericton,NB,N2L 2N9,C,Net 60,achats@grandairverduncantons.ca,2023-06-20,1
10,CLI-0180,Sports Jonquière ltée,Détaillant indépendant,Victoriaville,QC,R4R 4V2,C,Net 30,achats@sportsjonquiereltee.ca,2017-02-25,1
11,CLI-0206,Base Camp Enr.,Coopérative de plein air,Rimouski,QC,J2H 4N9,B,Net 60,achats@basecampenr.ca,2023-02-20,1
