achat_id,no_achat,date_commande_id,date_prevue_id,date_reception_id,fournisseur_id,produit_id,quantite,cout_unitaire,montant,statut,est_retour,retard_jours
1,ACH-70001,20240113,20240120,20240120,1,97,-3,210.05,-630.15,Recue,1,0
2,ACH-70001,20240113,20240120,20240120,1,66,60,199.26,11955.6,Recue,0,0
3,ACH-70001,20240113,20240120,20240120,1,46,60,308.91,18534.6,Recue,0,0
4,ACH-70001,20240113,20240120,20240120,1,92,96,140.04,13443.84,Recue,0,0
5,ACH-70002,20240202,20240209,20240209,1,30,12,98.88,1186.56,Recue,0,0
6,ACH-70002,20240202,20240209,20240209,1,93,96,132.18,12689.28,Recue,0,0
7,ACH-70002,20240202,20240209,20240209,1,84,120,312.0,37440.0,Recue,0,0
8,ACH-70003,20240218,20240225,20240225,1,95,24,53.64,1287.36,Recue,0,0
9,ACH-70003,20240218,20240225,20240225,1,57,96,19.26,1848.96,Recue,0,0
10,ACH-70003,20240218,20240225,20240225,1,57,12,19.26,231.12,Recue,0,0
11,ACH-70003,20240218,20240225,20240225,1,68,36,284.28,10234.08,Recue,0,0
12,ACH-70004,20240302,20240309,20240309,1,80,24,173.12,4154.88,Recue,0,0
13,ACH-70005,20240321,20240328,20240411,1,66,24,199.26,4782.24,Recue,0,14
14,ACH-70005,20240321,20240328,20240411,1,83,96,157.14,15085.44,Recue,0,14
15,ACH-70006,20240401,20240408,20240408,1,75,36,59.74,2150.64,Recue,0,0
16,ACH-70006,20240401,20240408,20240408,1,21,60,201.55,12093.0,Recue,0,0
17,ACH-70007,20240413,20240420,20240424,1,75,36,59.74,2150.64,Recue,0,4
18,ACH-70007,20240413,20240420,20240424,1,81,60,302.82,18169.2,Recue,0,4
19,ACH-70007,20240413,20240420,20240424,1,69,12,198.5,2382.0,Recue,0,4
20,ACH-70007,20240413,20240420,20240424,1,8,36,128.94,4641.84,Recue,0,4
21,ACH-70007,20240413,20240420,20240424,1,74,240,108.27,25984.8,Recue,0,4
22,ACH-70008,20240502,20240509,20240509,1,46,120,308.91,37069.2,Recue,0,0
23,ACH-70009,20240516,20240523,20240523,1,74,48,108.27,5196.96,Recue,0,0
24,ACH-70009,20240516,20240523,20240523,1,85,240,40.9,9816.0,Recue,0,0
25,ACH-70009,20240516,20240523,20240523,1,67,24,23.77,570.48,Recue,0,0
26,ACH-70009,20240516,20240523,20240523,1,95,48,53.64,2574.72,Recue,0,0
27,ACH-70010,20240529,20240605,20240630,1,68,24,284.28,6822.72,Recue,0,25
28,ACH-70010,20240529,20240605,20240630,1,66,12,199.26,2391.12,Recue,0,25
29,ACH-70011,20240608,20240615,20240615,1,80,48,173.12,8309.76,Recue,0,0
30,ACH-70011,20240608,20240615,20240615,1,89,96,157.64,15133.44,Recue,0,0
31,ACH-70011,20240608,20240615,20240615,1,90,36,57.58,2072.88,Recue,0,0
32,ACH-70011,20240608,20240615,20240615,1,72,36,196.62,7078.32,Recue,0,0
33,ACH-70012,20240620,20240627,20240627,1,73,36,255.0,9180.0,Recue,0,0
34,ACH-70012,20240620,20240627,20240627,1,100,60,306.44,18386.4,Recue,0,0
35,ACH-70012,20240620,20240627,20240627,1,100,120,306.44,36772.8,Recue,0,0
36,ACH-70013,20240701,20240708,20240708,1,100,120,306.44,36772.8,Recue,0,0
37,ACH-70013,20240701,20240708,20240708,1,76,36,281.11,10119.96,Recue,0,0
38,ACH-70013,20240701,20240708,20240708,1,78,24,197.64,4743.36,Recue,0,0
39,ACH-70013,20240701,20240708,20240708,1,34,96,151.89,14581.44,Recue,0,0
40,ACH-70013,20240701,20240708,20240708,1,65,96,128.81,12365.76,Recue,0,0
41,ACH-70014,20240715,20240722,20240722,1,30,24,98.88,2373.12,Recue,0,0
42,ACH-70014,20240715,20240722,20240722,1,22,240,247.74,59457.6,Recue,0,0
43,ACH-70014,20240715,20240722,20240722,1,78,24,197.64,4743.36,Recue,0,0
44,ACH-70015,20240803,20240810,20240810,1,75,12,59.74,716.88,Recue,0,0
45,ACH-70015,20240803,20240810,20240810,1,78,48,197.64,9486.72,Recue,0,0
46,ACH-70016,20240818,20240825,20240825,1,101,96,62.94,6042.24,Recue,0,0
47,ACH-70016,20240818,20240825,20240825,1,22,24,247.74,5945.76,Recue,0,0
48,ACH-70016,20240818,20240825,20240825,1,82,240,278.39,66813.6,Recue,0,0
49,ACH-70017,20240828,20240904,20240909,1,88,96,335.85,32241.6,Recue,0,5
50,ACH-70017,20240828,20240904,20240909,1,82,240,278.39,66813.6,Recue,0,5
51,ACH-70017,20240828,20240904,20240909,1,86,24,80.72,1937.28,Recue,0,5
52,ACH-70018,20240916,20240923,20240929,1,59,60,324.94,19496.4,Recue,0,6
53,ACH-70019,20240927,20241004,20241004,1,78,96,197.64,18973.44,Recue,0,0
54,ACH-70019,20240927,20241004,20241004,1,30,240,98.88,23731.2,Recue,0,0
55,ACH-70020,20241008,20241015,20241015,1,46,36,308.91,11120.76,Recue,0,0
56,ACH-70020,20241008,20241015,20241015,1,97,36,210.05,7561.8,Recue,0,0
57,ACH-70020,20241008,20241015,20241015,1,95,60,53.64,3218.4,Recue,0,0
58,ACH-70021,20241019,20241026,20241026,1,81,60,302.82,18169.2,Recue,0,0
59,ACH-70021,20241019,20241026,20241026,1,80,12,173.12,2077.44,Recue,0,0
60,ACH-70022,20241029,20241105,20241105,1,83,48,157.14,7542.72,Recue,0,0
61,ACH-70023,20241109,20241116,20241116,1,3,96,188.61,18106.56,Recue,0,0
62,ACH-70024,20241124,20241201,20241211,1,101,60,62.94,3776.4,Recue,0,10
63,ACH-70024,20241124,20241201,20241211,1,91,240,279.07,66976.8,Recue,0,10
64,ACH-70024,20241124,20241201,20241211,1,69,48,198.5,9528.0,Recue,0,10
65,ACH-70025,20241206,20241213,20241213,1,90,60,57.58,3454.8,Recue,0,0
66,ACH-70026,20241226,20250102,20250102,1,70,96,39.88,3828.48,Recue,0,0
67,ACH-70027,20250105,20250112,20250112,1,95,120,54.77,6572.4,Recue,0,0
68,ACH-70028,20250124,20250131,20250131,1,89,96,160.95,15451.2,Recue,0,0
69,ACH-70028,20250124,20250131,20250131,1,86,24,82.42,1978.08,Recue,0,0
70,ACH-70029,20250205,20250212,20250212,1,67,240,24.27,5824.8,Recue,0,0
71,ACH-70029,20250205,20250212,20250212,1,69,120,202.67,24320.4,Recue,0,0
72,ACH-70029,20250205,20250212,20250212,1,30,240,100.96,24230.4,Recue,0,0
73,ACH-70030,20250216,20250223,20250227,1,66,48,203.44,9765.12,Recue,0,4
74,ACH-70030,20250216,20250223,20250227,1,65,24,131.52,3156.48,Recue,0,4
75,ACH-70030,20250216,20250223,20250227,1,30,12,100.96,1211.52,Recue,0,4
76,ACH-70030,20250216,20250223,20250227,1,89,24,160.95,3862.8,Recue,0,4
77,ACH-70030,20250216,20250223,20250227,1,3,240,192.57,46216.8,Recue,0,4
78,ACH-70031,20250304,20250311,20250311,1,82,240,284.24,68217.6,Recue,0,0
79,ACH-70031,20250304,20250311,20250311,1,69,96,202.67,19456.32,Recue,0,0
80,ACH-70031,20250304,20250311,20250311,1,57,12,19.66,235.92,Recue,0,0
81,ACH-70032,20250317,20250324,20250324,1,97,48,214.46,10294.08,Recue,0,0
82,ACH-70032,20250317,20250324,20250324,1,85,60,41.76,2505.6,Recue,0,0
83,ACH-70032,20250317,20250324,20250324,1,60,24,246.98,5927.52,Recue,0,0
84,ACH-70032,20250317,20250324,20250324,1,66,96,203.44,19530.24,Recue,0,0
85,ACH-70033,20250329,20250405,20250405,1,72,24,200.75,4818.0,Recue,0,0
86,ACH-70033,20250329,20250405,20250405,1,82,120,284.24,34108.8,Recue,0,0
87,ACH-70033,20250329,20250405,20250405,1,80,48,176.76,8484.48,Recue,0,0
88,ACH-70034,20250416,20250423,20250423,1,88,48,342.9,16459.2,Recue,0,0
89,ACH-70034,20250416,20250423,20250423,1,22,60,252.94,15176.4,Recue,0,0
90,ACH-70034,20250416,20250423,20250423,1,88,48,342.9,16459.2,Recue,0,0
91,ACH-70034,20250416,20250423,20250423,1,99,-60,293.7,-17622.0,Recue,1,0
92,ACH-70034,20250416,20250423,20250423,1,34,48,155.08,7443.84,Recue,0,0
93,ACH-70035,20250430,20250507,20250507,1,86,120,82.42,9890.4,Recue,0,0
94,ACH-70035,20250430,20250507,20250507,1,21,12,205.78,2469.36,Recue,0,0
95,ACH-70035,20250430,20250507,20250507,1,88,48,342.9,16459.2,Recue,0,0
96,ACH-70035,20250430,20250507,20250507,1,74,24,110.54,2652.96,Recue,0,0
97,ACH-70036,20250515,20250522,20250522,1,72,12,236.88,2842.56,Recue,0,0
98,ACH-70036,20250515,20250522,20250522,1,8,48,155.34,7456.32,Recue,0,0
99,ACH-70037,20250601,20250608,20250622,1,101,12,75.83,909.96,Recue,0,14
100,ACH-70037,20250601,20250608,20250622,1,100,36,369.19,13290.84,Recue,0,14
101,ACH-70037,20250601,20250608,20250622,1,85,48,49.28,2365.44,Recue,0,14
102,ACH-70038,20250611,20250618,20250709,1,76,36,338.68,12192.48,Recue,0,21
103,ACH-70038,20250611,20250618,20250709,1,1,12,219.63,2635.56,Recue,0,21
104,ACH-70038,20250611,20250618,20250709,1,66,24,240.06,5761.44,Recue,0,21
105,ACH-70039,20250630,20250707,20250712,1,98,60,309.76,18585.6,Recue,0,5
106,ACH-70040,20250710,20250717,20250717,1,97,36,253.06,9110.16,Recue,0,0
107,ACH-70040,20250710,20250717,20250717,1,100,120,369.19,44302.8,Recue,0,0
108,ACH-70041,20250727,20250803,20250803,1,1,60,219.63,13177.8,Recue,0,0
109,ACH-70041,20250727,20250803,20250803,1,67,36,28.64,1031.04,Recue,0,0
110,ACH-70041,20250727,20250803,20250803,1,75,96,71.97,6909.12,Recue,0,0
111,ACH-70042,20250806,20250813,20250813,1,19,36,205.07,7382.52,Recue,0,0
112,ACH-70042,20250806,20250813,20250813,1,80,120,208.57,25028.4,Recue,0,0
113,ACH-70043,20250819,20250826,20250914,1,99,96,346.57,33270.72,Recue,0,19
114,ACH-70043,20250819,20250826,20250914,1,81,12,364.83,4377.96,Recue,0,19
115,ACH-70043,20250819,20250826,20250914,1,74,24,130.44,3130.56,Recue,0,19
116,ACH-70043,20250819,20250826,20250914,1,22,96,298.47,28653.12,Recue,0,19
117,ACH-70043,20250819,20250826,20250914,1,98,60,309.76,18585.6,Recue,0,19
118,ACH-70044,20250830,20250906,20250906,1,74,96,130.44,12522.24,Recue,0,0
119,ACH-70044,20250830,20250906,20250906,1,59,36,391.48,14093.28,Recue,0,0
120,ACH-70044,20250830,20250906,20250906,1,85,24,49.28,1182.72,Recue,0,0
121,ACH-70044,20250830,20250906,20250906,1,84,12,375.89,4510.68,Recue,0,0
122,ACH-70045,20250919,20250926,20250926,1,68,120,342.49,41098.8,Recue,0,0
123,ACH-70046,20251005,20251012,20251012,1,70,48,48.05,2306.4,Recue,0,0
124,ACH-70046,20251005,20251012,20251012,1,68,24,342.49,8219.76,Recue,0,0
125,ACH-70046,20251005,20251012,20251012,1,68,12,342.49,4109.88,Recue,0,0
126,ACH-70047,20251020,20251027,20251027,1,62,12,135.59,1627.08,Recue,0,0
127,ACH-70047,20251020,20251027,20251027,1,72,240,236.88,56851.2,Recue,0,0
128,ACH-70047,20251020,20251027,20251027,1,101,24,75.83,1819.92,Recue,0,0
129,ACH-70047,20251020,20251027,20251027,1,36,12,191.63,2299.56,Recue,0,0
130,ACH-70048,20251102,20251109,20251109,1,65,96,155.19,14898.24,Recue,0,0
131,ACH-70048,20251102,20251109,20251109,1,80,36,208.57,7508.52,Recue,0,0
132,ACH-70048,20251102,20251109,20251109,1,95,24,64.62,1550.88,Recue,0,0
133,ACH-70049,20251118,20251125,20251125,1,3,96,227.23,21814.08,Recue,0,0
134,ACH-70050,20251128,20251205,20251205,1,59,60,391.48,23488.8,Recue,0,0
135,ACH-70050,20251128,20251205,20251205,1,101,240,75.83,18199.2,Recue,0,0
136,ACH-70050,20251128,20251205,20251205,1,80,36,208.57,7508.52,Recue,0,0
137,ACH-70050,20251128,20251205,20251205,1,21,60,242.82,14569.2,Recue,0,0
138,ACH-70051,20251207,20251214,20251214,1,1,12,219.63,2635.56,Recue,0,0
139,ACH-70052,20251216,20251223,20251226,1,69,60,239.15,14349.0,Recue,0,3
140,ACH-70052,20251216,20251223,20251226,1,68,48,342.49,16439.52,Recue,0,3
141,ACH-70053,20251227,20260103,,1,21,24,242.82,5827.68,En transit,0,
142,ACH-70054,20240102,20240123,20240123,2,167,12,205.42,2465.04,Recue,0,0
143,ACH-70054,20240102,20240123,20240123,2,27,12,249.72,2996.64,Recue,0,0
144,ACH-70054,20240102,20240123,20240123,2,27,36,249.72,8989.92,Recue,0,0
145,ACH-70055,20240117,20240207,20240207,2,25,36,146.28,5266.08,Recue,0,0
146,ACH-70055,20240117,20240207,20240207,2,170,48,16.6,796.8,Recue,0,0
147,ACH-70055,20240117,20240207,20240207,2,27,60,249.72,14983.2,Recue,0,0
148,ACH-70056,20240127,20240217,20240217,2,29,96,238.44,22890.24,Recue,0,0
149,ACH-70056,20240127,20240217,20240217,2,29,96,238.44,22890.24,Recue,0,0
150,ACH-70056,20240127,20240217,20240217,2,13,36,308.85,11118.6,Recue,0,0
151,ACH-70057,20240208,20240229,20240302,2,164,12,98.38,1180.56,Recue,0,2
152,ACH-70057,20240208,20240229,20240302,2,180,60,93.34,5600.4,Recue,0,2
153,ACH-70057,20240208,20240229,20240302,2,29,96,238.44,22890.24,Recue,0,2
154,ACH-70057,20240208,20240229,20240302,2,157,60,24.69,1481.4,Recue,0,2
155,ACH-70057,20240208,20240229,20240302,2,6,36,178.72,6433.92,Recue,0,2
156,ACH-70058,20240220,20240312,20240312,2,31,120,294.44,35332.8,Recue,0,0
157,ACH-70058,20240220,20240312,20240312,2,163,240,294.58,70699.2,Recue,0,0
158,ACH-70058,20240220,20240312,20240312,2,170,-24,16.6,-398.4,Recue,1,0
159,ACH-70059,20240229,20240321,20240321,2,166,120,212.88,25545.6,Recue,0,0
160,ACH-70059,20240229,20240321,20240321,2,164,24,98.38,2361.12,Recue,0,0
161,ACH-70060,20240310,20240331,20240331,2,25,240,146.28,35107.2,Recue,0,0
162,ACH-70060,20240310,20240331,20240331,2,180,12,93.34,1120.08,Recue,0,0
163,ACH-70061,20240320,20240410,20240410,2,167,48,205.42,9860.16,Recue,0,0
164,ACH-70061,20240320,20240410,20240410,2,180,36,93.34,3360.24,Recue,0,0
165,ACH-70061,20240320,20240410,20240410,2,157,60,24.69,1481.4,Recue,0,0
166,ACH-70061,20240320,20240410,20240410,2,177,-12,211.22,-2534.64,Recue,1,0
167,ACH-70062,20240405,20240426,20240426,2,164,120,98.38,11805.6,Recue,0,0
168,ACH-70062,20240405,20240426,20240426,2,31,240,294.44,70665.6,Recue,0,0
169,ACH-70062,20240405,20240426,20240426,2,25,12,146.28,1755.36,Recue,0,0
170,ACH-70062,20240405,20240426,20240426,2,29,24,238.44,5722.56,Recue,0,0
171,ACH-70062,20240405,20240426,20240426,2,162,48,66.97,3214.56,Recue,0,0
172,ACH-70063,20240424,20240515,20240515,2,167,24,205.42,4930.08,Recue,0,0
173,ACH-70063,20240424,20240515,20240515,2,177,36,211.22,7603.92,Recue,0,0
174,ACH-70063,20240424,20240515,20240515,2,158,96,180.81,17357.76,Recue,0,0
175,ACH-70064,20240511,20240601,20240601,2,166,48,212.88,10218.24,Recue,0,0
176,ACH-70064,20240511,20240601,20240601,2,170,36,16.6,597.6,Recue,0,0
177,ACH-70065,20240524,20240614,20240614,2,177,12,211.22,2534.64,Recue,0,0
178,ACH-70065,20240524,20240614,20240614,2,158,240,180.81,43394.4,Recue,0,0
179,ACH-70065,20240524,20240614,20240614,2,177,24,211.22,5069.28,Recue,0,0
180,ACH-70066,20240612,20240703,20240703,2,180,60,93.34,5600.4,Recue,0,0
181,ACH-70066,20240612,20240703,20240703,2,6,48,178.72,8578.56,Recue,0,0
182,ACH-70066,20240612,20240703,20240703,2,157,24,24.69,592.56,Recue,0,0
183,ACH-70066,20240612,20240703,20240703,2,6,96,178.72,17157.12,Recue,0,0
184,ACH-70067,20240702,20240723,20240808,2,177,60,211.22,12673.2,Recue,0,16
