charge_id,date_id,categorie,entrepot_id,montant
1,20251201,Honoraires professionnels,1,3452.78
2,20251101,Honoraires professionnels,1,2805.52
3,20250501,Énergie,3,2386.39
4,20251001,Transport et livraison,2,19308.71
5,20240801,Loyer,3,8900.0
6,20250101,Honoraires professionnels,1,3144.91
7,20250401,Assurances,3,1255.52
8,20250101,Télécommunications,2,785.16
9,20240901,Loyer,1,14200.0
10,20240801,Entretien et réparations,3,865.0
11,20251101,Loyer,1,14682.8
12,20240701,Télécommunications,3,399.17
13,20251201,Transport et livraison,1,8198.25
14,20250401,Télécommunications,3,406.51
15,20251101,Transport et livraison,1,11788.71
16,20240701,Fournitures de bureau,3,313.73
17,20240201,Transport et livraison,2,7984.51
18,20241201,Assurances,3,1205.1
19,20240401,Assurances,1,1819.62
20,20240101,Fournitures de bureau,2,565.77
21,20250401,Télécommunications,1,611.0
22,20241001,Transport et livraison,1,16388.09
23,20240501,Transport et livraison,3,6258.02
24,20240701,Loyer,3,8900.0
25,20250601,Loyer,1,14682.8
26,20250601,Assurances,2,2505.92
27,20240301,Énergie,2,3940.47
28,20250701,Transport et livraison,1,8069.69
29,20241001,Assurances,3,1217.27
30,20240201,Télécommunications,1,603.27
31,20240901,Télécommunications,3,393.33
32,20251101,Transport et livraison,3,4795.8
33,20240801,Énergie,1,3024.9
34,20250501,Fournitures de bureau,2,682.48
35,20240301,Loyer,2,21500.0
36,20240201,Loyer,1,14200.0
37,20251001,Logiciels et TI,1,3162.19
38,20240401,Assurances,2,2370.9
39,20240201,Énergie,1,3138.77
40,20240501,Entretien et réparations,1,1529.82
41,20240801,Entretien et réparations,1,1211.05
42,20241001,Télécommunications,1,624.46
43,20241201,Entretien et réparations,3,1017.39
44,20250601,Transport et livraison,3,5563.46
45,20240601,Fournitures de bureau,3,345.22
46,20250301,Énergie,3,2472.5
47,20250901,Télécommunications,1,663.37
48,20240301,Fournitures de bureau,2,587.19
49,20250701,Télécommunications,1,632.62
50,20240501,Assurances,1,1854.08
51,20250201,Loyer,2,22231.0
52,20240201,Assurances,3,1187.52
53,20240901,Loyer,3,8900.0
54,20240701,Télécommunications,2,761.64
55,20240401,Fournitures de bureau,2,635.75
56,20250501,Transport et livraison,3,5657.41
57,20250301,Loyer,2,22231.0
58,20240501,Logiciels et TI,1,3028.47
59,20240801,Entretien et réparations,2,2225.74
60,20251001,Télécommunications,3,441.56
61,20240801,Télécommunications,3,417.86
62,20250101,Transport et livraison,3,2752.43
63,20240801,Transport et livraison,2,14383.84
64,20250101,Loyer,3,9202.6
65,20240701,Énergie,3,2167.58
66,20250901,Transport et livraison,1,17111.67
67,20240701,Entretien et réparations,3,846.68
68,20250901,Assurances,3,1226.8
69,20250601,Transport et livraison,1,10933.3
70,20250601,Entretien et réparations,3,752.99
71,20241201,Télécommunications,2,784.29
72,20251101,Fournitures de bureau,1,478.9
73,20241101,Fournitures de bureau,1,495.41
74,20240701,Honoraires professionnels,1,3109.75
75,20240901,Transport et livraison,3,7354.44
76,20241001,Fournitures de bureau,2,555.17
77,20240901,Énergie,1,2746.19
78,20240201,Télécommunications,2,753.57
79,20250501,Loyer,2,22231.0
80,20250601,Énergie,2,4443.34
81,20250701,Transport et livraison,2,10099.42
82,20250301,Loyer,1,14682.8
83,20251201,Télécommunications,1,665.42
84,20241101,Énergie,3,2271.4
85,20250101,Loyer,1,14682.8
86,20250601,Entretien et réparations,2,2136.7
87,20240401,Transport et livraison,1,9972.01
88,20241001,Entretien et réparations,3,865.46
89,20240501,Assurances,2,2419.78
90,20240101,Télécommunications,2,789.04
91,20250101,Énergie,2,3903.82
92,20240701,Logiciels et TI,1,3096.0
93,20241201,Entretien et réparations,1,1703.31
94,20250801,Logiciels et TI,1,3227.3
95,20250301,Télécommunications,3,441.04
96,20250401,Honoraires professionnels,1,3120.3
97,20250301,Entretien et réparations,1,1296.96
98,20250101,Entretien et réparations,3,1009.52
99,20240701,Entretien et réparations,1,1261.93
100,20250901,Assurances,1,1884.59
101,20251201,Entretien et réparations,2,2572.95
102,20241001,Loyer,3,8900.0
103,20241201,Loyer,2,21500.0
104,20241101,Assurances,3,1211.38
105,20240501,Fournitures de bureau,3,288.02
106,20240701,Transport et livraison,2,10274.32
107,20240501,Loyer,2,21500.0
108,20240201,Logiciels et TI,1,3184.65
109,20240401,Fournitures de bureau,3,343.11
110,20240301,Fournitures de bureau,3,281.62
111,20250501,Entretien et réparations,2,2619.47
112,20240901,Honoraires professionnels,1,2866.78
113,20250101,Transport et livraison,1,6141.9
114,20250701,Loyer,1,14682.8
115,20240601,Télécommunications,3,396.85
116,20240601,Télécommunications,1,649.28
117,20241101,Loyer,3,8900.0
118,20250301,Énergie,2,3931.71
119,20251001,Assurances,1,1913.78
120,20250701,Entretien et réparations,3,944.8
121,20250301,Fournitures de bureau,3,279.86
122,20240201,Assurances,2,2362.94
123,20250801,Entretien et réparations,1,1328.81
124,20240601,Transport et livraison,1,10162.29
125,20251001,Loyer,2,22231.0
126,20250101,Télécommunications,1,632.97
127,20241001,Énergie,2,3879.31
128,20240901,Énergie,3,2297.33
129,20241101,Honoraires professionnels,1,3194.81
130,20250701,Énergie,2,4151.58
131,20251001,Transport et livraison,1,13611.55
132,20240601,Logiciels et TI,1,3033.73
133,20250901,Assurances,2,2518.77
134,20240101,Entretien et réparations,2,2149.66
135,20250701,Logiciels et TI,1,3130.54
136,20241001,Transport et livraison,2,15922.02
137,20251001,Entretien et réparations,1,1603.94
138,20250701,Énergie,3,2252.24
139,20250201,Entretien et réparations,1,1755.32
140,20240101,Énergie,2,3909.37
141,20240601,Entretien et réparations,2,2267.44
142,20250401,Énergie,2,4258.39
143,20240601,Énergie,2,3764.23
144,20251001,Loyer,1,14682.8
145,20240501,Télécommunications,1,644.32
146,20250301,Transport et livraison,1,8884.06
147,20240501,Énergie,1,2795.81
148,20250801,Loyer,3,9202.6
149,20250501,Télécommunications,2,766.43
150,20250501,Loyer,3,9202.6
151,20240401,Transport et livraison,3,4618.81
152,20250801,Assurances,3,1259.82
153,20240701,Énergie,1,2776.56
154,20240301,Assurances,2,2386.16
155,20250701,Assurances,2,2469.43
156,20251201,Entretien et réparations,3,1124.55
157,20240901,Transport et livraison,2,20890.7
158,20251101,Loyer,2,22231.0
159,20240101,Loyer,1,14200.0
160,20250401,Logiciels et TI,1,3309.6
161,20240501,Transport et livraison,1,12166.91
162,20240701,Loyer,1,14200.0
163,20251101,Logiciels et TI,1,3229.82
164,20251201,Transport et livraison,2,9194.92
165,20241201,Télécommunications,3,399.94
166,20250801,Télécommunications,1,647.95
167,20250201,Loyer,1,14682.8
168,20241201,Fournitures de bureau,3,304.21
169,20250201,Fournitures de bureau,3,365.55
170,20251001,Assurances,2,2477.98
171,20250701,Fournitures de bureau,3,327.86
172,20240801,Télécommunications,1,647.78
173,20240101,Loyer,3,8900.0
174,20251101,Télécommunications,3,405.57
175,20250801,Énergie,1,2929.88
176,20240401,Entretien et réparations,3,768.2
177,20240101,Énergie,1,2797.15
178,20250801,Assurances,1,1936.37
179,20251001,Loyer,3,9202.6
180,20240401,Énergie,2,4238.8
181,20240601,Loyer,3,8900.0
182,20240401,Logiciels et TI,1,3121.77
183,20240401,Loyer,1,14200.0
184,20240101,Fournitures de bureau,3,351.73
185,20240901,Entretien et réparations,1,1525.0
186,20241101,Transport et livraison,2,13733.01
