marketing_id,date_id,canal_id,budget,depense,prospects,nouveaux_clients,ecart_budget
1,20240101,1,,4509.34,99,4,
2,20240101,2,1256.23,1229.64,68,7,-26.59
3,20240101,3,1214.33,1126.29,4,0,-88.04
4,20240201,1,5969.87,5859.18,125,4,-110.69
5,20240201,2,1474.08,1569.68,94,8,95.6
6,20240201,4,19803.86,21484.62,47,3,1680.76
7,20240201,3,2217.63,2379.8,19,1,162.17
8,20240301,1,6671.45,7164.04,152,6,492.59
9,20240301,2,1409.53,1520.03,87,8,110.5
10,20240301,4,21128.78,18235.97,42,1,-2892.81
11,20240301,5,10648.87,11038.48,65,4,389.61
12,20240301,3,2281.13,2155.34,9,0,-125.79
13,20240401,1,5839.8,5702.08,127,6,-137.72
14,20240401,2,1348.56,1272.11,70,6,-76.45
15,20240401,3,2454.33,2508.35,14,1,54.02
16,20240501,1,4450.4,4119.19,89,4,-331.21
17,20240501,2,827.48,928.7,53,4,101.22
18,20240501,3,,1168.39,1,0,
19,20240601,1,6861.36,6521.37,137,4,-339.99
20,20240601,2,1184.87,1258.08,79,6,73.21
21,20240601,3,1109.08,1050.86,6,0,-58.22
22,20240701,1,5380.06,5356.81,118,6,-23.25
23,20240701,2,1337.65,1208.38,73,6,-129.27
24,20240701,3,1554.87,1617.74,12,0,62.87
25,20240801,1,4877.76,4729.36,99,6,-148.4
26,20240801,2,1051.42,988.95,54,4,-62.47
27,20240801,5,13716.06,12785.65,71,1,-930.41
28,20240801,3,2095.51,2106.83,13,0,11.32
29,20240901,1,4264.86,3717.91,84,4,-546.95
30,20240901,2,1280.53,1277.27,71,7,-3.26
31,20240901,4,25388.16,25994.12,51,2,605.96
32,20240901,3,1300.33,1364.48,10,1,64.15
33,20241001,1,7217.06,8192.25,182,10,975.19
34,20241001,2,1384.89,1377.75,79,6,-7.14
35,20241001,4,,18414.88,32,1,
36,20241001,3,2068.08,1878.19,9,0,-189.89
37,20241101,1,5510.94,5015.2,106,6,-495.74
38,20241101,2,777.34,776.05,47,4,-1.29
39,20241101,3,1512.62,1544.49,11,0,31.87
40,20241201,1,6248.29,6399.97,140,7,151.68
41,20241201,2,1241.35,1339.28,78,7,97.93
42,20241201,3,1266.63,1285.84,4,0,19.21
43,20250101,1,6552.65,6365.12,138,6,-187.53
44,20250101,2,842.44,916.53,54,5,74.09
45,20250101,3,2590.02,2756.18,14,0,166.16
46,20250201,1,5389.92,6036.6,130,6,646.68
47,20250201,2,849.75,881.74,56,4,31.99
48,20250201,4,29323.94,28547.47,63,5,-776.47
49,20250201,3,1729.81,1649.89,0,0,-79.92
50,20250301,1,6839.75,7155.07,160,8,315.32
51,20250301,2,818.61,774.93,39,3,-43.68
52,20250301,4,,24966.5,55,3,
53,20250301,5,9302.42,8662.51,43,0,-639.91
54,20250301,3,1203.67,1045.75,9,1,-157.92
55,20250401,1,6954.23,6274.51,142,9,-679.72
56,20250401,2,1384.99,1342.52,75,5,-42.47
57,20250401,3,1693.55,1767.47,10,1,73.92
58,20250501,1,4293.49,3711.21,83,3,-582.28
59,20250501,2,1267.42,1130.89,57,5,-136.53
60,20250501,3,1211.62,1236.0,10,2,24.38
61,20250601,1,6736.5,7358.09,158,7,621.59
62,20250601,2,882.83,912.65,48,4,29.82
63,20250601,3,2195.61,2431.51,19,0,235.9
64,20250701,1,5385.75,5070.02,114,6,-315.73
65,20250701,2,1150.53,1204.62,64,7,54.09
66,20250701,3,1849.36,1956.39,2,0,107.03
67,20250801,1,4499.87,4657.6,105,6,157.73
68,20250801,2,1200.61,1062.31,63,5,-138.3
69,20250801,5,,14519.52,83,2,
70,20250801,3,1754.35,1603.0,4,0,-151.35
71,20250901,1,7003.13,7935.9,172,9,932.77
72,20250901,2,799.84,878.07,58,7,78.23
73,20250901,4,19122.79,18535.19,32,0,-587.6
74,20250901,3,2498.53,2206.35,13,2,-292.18
75,20251001,1,5895.29,5849.87,129,8,-45.42
76,20251001,2,1221.9,1249.85,73,7,27.95
77,20251001,4,24034.36,21442.23,44,3,-2592.13
78,20251001,3,2586.21,2224.78,13,0,-361.43
79,20251101,1,7019.71,6940.44,157,8,-79.27
80,20251101,2,968.32,850.49,43,4,-117.83
81,20251101,3,2078.17,2320.72,12,0,242.55
82,20251201,1,7002.58,7903.81,174,9,901.23
83,20251201,2,976.26,983.87,54,4,7.61
84,20251201,3,1626.54,1561.06,12,0,-65.48
