paie_id,date_id,employe_id,salaire_base,primes,heures_supplementaires,charges_sociales,cout_total
1,20240101,13,5583.33,584.93,0.0,885.15,7053.41
2,20240101,15,5166.67,533.29,0.0,817.94,6517.9
3,20240101,19,5083.33,184.2,0.0,755.89,6023.42
4,20240101,24,4500.0,157.88,0.0,668.41,5326.29
5,20240101,10,3000.0,397.44,0.0,487.53,3884.97
6,20240101,29,2900.0,114.14,0.0,432.53,3446.67
7,20240101,8,4500.0,459.02,0.0,711.62,5670.64
8,20240101,39,4333.33,511.44,0.0,695.22,5540.0
9,20240101,18,5416.67,286.59,0.0,818.42,6521.67
10,20240101,41,7583.33,0.0,0.0,1088.21,8671.54
11,20240101,11,3916.67,0.0,14.89,564.18,4495.73
12,20240101,2,3916.67,0.0,13.76,564.02,4494.44
13,20240101,25,3833.33,0.0,292.9,592.11,4718.35
14,20240101,45,3500.0,0.0,370.56,555.43,4425.99
15,20240101,14,3666.67,0.0,80.05,537.65,4284.37
16,20240101,40,4083.33,0.0,321.65,632.11,5037.1
17,20240101,35,3750.0,0.0,170.99,562.66,4483.65
18,20240101,47,3666.67,0.0,292.57,568.15,4527.39
19,20240101,22,4000.0,0.0,177.57,599.48,4777.06
20,20240101,37,3750.0,0.0,70.9,548.3,4369.2
21,20240101,27,3500.0,0.0,326.19,549.06,4375.25
22,20240101,9,3583.33,0.0,156.34,536.64,4276.32
23,20240101,1,2900.0,0.0,179.92,441.97,3521.88
24,20240101,44,5083.33,0.0,33.62,734.28,5851.23
25,20240101,7,5000.0,0.0,250.68,753.47,6004.15
26,20240101,42,5000.0,0.0,0.0,717.5,5717.5
27,20240101,30,5750.0,0.0,0.0,825.12,6575.12
28,20240101,17,5333.33,0.0,0.0,765.33,6098.67
29,20240101,31,4833.33,0.0,0.0,693.58,5526.92
30,20240101,34,2550.0,0.0,0.0,365.92,2915.92
31,20240101,38,2950.0,0.0,0.0,423.32,3373.32
32,20240101,16,4500.0,0.0,0.0,645.75,5145.75
33,20240101,36,2650.0,0.0,0.0,380.27,3030.28
34,20240101,23,2900.0,0.0,0.0,416.15,3316.15
35,20240101,33,3916.67,0.0,0.0,562.04,4478.71
36,20240101,32,4333.33,0.0,0.0,621.83,4955.17
37,20240101,46,4166.67,0.0,0.0,597.92,4764.58
38,20240101,28,3750.0,0.0,0.0,538.12,4288.12
39,20240101,43,5333.33,0.0,0.0,765.33,6098.67
40,20240101,20,10416.67,0.0,0.0,1494.79,11911.46
41,20240101,21,8250.0,0.0,0.0,1183.88,9433.88
42,20240101,26,4166.67,0.0,109.02,613.56,4889.25
43,20240101,3,4083.33,0.0,160.25,608.95,4852.53
44,20240201,13,5583.33,432.55,0.0,863.28,6879.17
45,20240201,15,5166.67,735.37,0.0,846.94,6748.98
46,20240201,19,5083.33,747.71,0.0,836.76,6667.8
47,20240201,24,4500.0,408.42,0.0,704.36,5612.78
48,20240201,10,3000.0,179.59,0.0,456.27,3635.87
49,20240201,29,2900.0,269.39,0.0,454.81,3624.2
50,20240201,8,4500.0,139.09,0.0,665.71,5304.8
51,20240201,39,4333.33,226.2,0.0,654.29,5213.83
52,20240201,18,5416.67,200.34,0.0,806.04,6423.04
53,20240201,41,7583.33,0.0,0.0,1088.21,8671.54
54,20240201,11,3916.67,0.0,267.53,600.43,4784.63
55,20240201,2,3916.67,0.0,9.06,563.34,4489.07
56,20240201,25,3833.33,0.0,404.5,608.13,4845.96
57,20240201,45,3500.0,0.0,137.93,522.04,4159.97
58,20240201,14,3666.67,0.0,294.31,568.4,4529.38
59,20240201,40,4083.33,0.0,134.13,605.21,4822.67
60,20240201,35,3750.0,0.0,183.5,564.46,4497.96
61,20240201,47,3666.67,0.0,195.54,554.23,4416.44
62,20240201,22,4000.0,0.0,301.68,617.29,4918.97
63,20240201,37,3750.0,0.0,368.99,591.07,4710.06
64,20240201,27,3500.0,0.0,185.0,528.8,4213.79
65,20240201,9,3583.33,0.0,191.21,541.65,4316.19
66,20240201,1,2900.0,0.0,25.83,419.86,3345.68
67,20240201,44,5083.33,0.0,421.21,789.9,6294.45
68,20240201,7,5000.0,0.0,492.07,788.11,6280.18
69,20240201,42,5000.0,0.0,0.0,717.5,5717.5
70,20240201,30,5750.0,0.0,0.0,825.12,6575.12
71,20240201,17,5333.33,0.0,0.0,765.33,6098.67
72,20240201,31,4833.33,0.0,0.0,693.58,5526.92
73,20240201,34,2550.0,0.0,0.0,365.92,2915.92
74,20240201,38,2950.0,0.0,0.0,423.32,3373.32
75,20240201,16,4500.0,0.0,0.0,645.75,5145.75
76,20240201,36,2650.0,0.0,0.0,380.27,3030.28
77,20240201,23,2900.0,0.0,0.0,416.15,3316.15
78,20240201,33,3916.67,0.0,0.0,562.04,4478.71
79,20240201,32,4333.33,0.0,0.0,621.83,4955.17
80,20240201,46,4166.67,0.0,0.0,597.92,4764.58
81,20240201,28,3750.0,0.0,0.0,538.12,4288.12
82,20240201,43,5333.33,0.0,0.0,765.33,6098.67
83,20240201,20,10416.67,0.0,0.0,1494.79,11911.46
84,20240201,21,8250.0,0.0,0.0,1183.88,9433.88
85,20240201,26,4166.67,0.0,425.48,658.97,5251.12
86,20240201,3,4083.33,0.0,86.16,598.32,4767.82
87,20240301,13,5583.33,578.59,0.0,884.24,7046.16
88,20240301,15,5166.67,516.22,0.0,815.49,6498.38
89,20240301,19,5083.33,998.75,0.0,872.78,6954.86
90,20240301,24,4500.0,932.39,0.0,779.55,6211.94
91,20240301,10,3000.0,271.71,0.0,469.49,3741.2
92,20240301,29,2900.0,264.02,0.0,454.04,3618.06
93,20240301,8,4500.0,542.38,0.0,723.58,5765.96
94,20240301,39,4333.33,648.96,0.0,714.96,5697.25
95,20240301,18,5416.67,943.6,0.0,912.7,7272.97
96,20240301,41,7583.33,0.0,0.0,1088.21,8671.54
