stock_id,date_id,entrepot_id,produit_id,quantite,cout_unitaire,valeur_stock,seuil_minimum,sous_seuil
1,20240229,3,141,14,307.78,4308.92,4,0
2,20250331,3,136,16,112.45,1799.2,5,0
3,20251031,1,28,13,143.73,1868.49,14,1
4,20241130,3,108,15,166.46,2496.9,6,0
5,20240131,3,141,16,307.78,4924.48,4,0
6,20240331,3,131,21,36.32,762.72,6,0
7,20241231,3,169,38,276.47,10505.86,6,0
8,20250228,3,102,7,260.69,1824.83,4,0
9,20250731,3,172,26,221.22,5751.72,5,0
10,20250630,1,61,91,76.81,6989.71,18,0
11,20240731,1,152,12,265.82,3189.84,10,0
12,20240930,2,27,12,249.72,2996.64,14,1
13,20241031,2,118,0,336.11,0.0,12,1
14,20250630,1,178,35,119.43,4180.05,17,0
15,20250930,3,33,15,113.22,1698.3,6,0
16,20240630,2,107,60,147.44,8846.4,13,0
17,20250430,3,160,44,41.56,1828.64,6,0
18,20240831,2,66,39,199.26,7771.14,9,0
19,20240131,2,57,22,19.26,423.72,16,0
20,20251031,2,56,12,293.14,3517.68,18,1
21,20240731,1,34,63,151.89,9569.07,13,0
22,20240731,2,108,10,166.46,1664.6,13,1
23,20250930,2,29,13,243.45,3164.85,10,0
24,20240331,2,58,72,146.46,10545.12,17,0
25,20251031,1,67,73,28.64,2090.72,14,0
26,20240430,1,63,101,242.15,24457.15,21,0
27,20251130,3,80,61,208.57,12722.77,5,0
28,20240531,1,60,99,241.9,23948.1,17,0
29,20240930,1,167,22,205.42,4519.24,13,0
30,20250831,1,83,65,189.32,12305.8,11,0
31,20250331,1,146,9,225.52,2029.68,14,1
32,20251031,3,99,88,346.57,30498.16,5,0
33,20240930,1,98,97,257.11,24939.67,15,0
34,20250531,2,169,29,282.28,8186.12,13,0
35,20250228,1,18,10,247.17,2471.7,6,0
36,20251130,1,17,14,313.71,4391.94,14,0
37,20250430,1,78,5,201.79,1008.95,9,1
38,20251130,1,8,11,155.34,1708.74,10,0
39,20240531,1,157,42,24.69,1036.98,13,0
40,20250930,1,106,3,340.08,1020.24,14,1
41,20240630,2,123,63,129.56,8162.28,13,0
42,20250831,2,182,27,58.06,1567.62,13,0
43,20240531,2,83,6,157.14,942.84,10,1
44,20250531,2,67,14,28.64,400.96,13,0
45,20250430,2,135,28,40.73,1140.44,14,0
46,20240229,3,74,15,108.27,1624.05,5,0
47,20250331,1,8,9,131.65,1184.85,10,1
48,20241231,1,79,12,144.83,1737.96,12,0
