vente_id,no_commande,date_commande_id,date_livraison_id,date_paiement_id,client_id,produit_id,entrepot_id,employe_id,quantite,prix_unitaire,remise_pct,cout_unitaire,montant_ht,cout_total,marge,canal_vente,delai_paiement_jours,delai_livraison_jours
1,CMD-101480,20240904,20240911,20241014,181,70,1,13,14,57.68,24.3,39.88,807.52,558.32,249.2,Représentant,40,7
2,CMD-100175,20240221,20240223,20240325,215,66,1,8,4,306.85,10.9,199.26,1227.4,797.04,430.36,Portail web,33,2
3,CMD-102084,20241112,20241115,20241213,40,139,1,39,6,288.49,19.6,198.93,1730.94,1193.58,537.36,Représentant,31,3
4,CMD-100660,20240508,20240512,20240703,194,98,3,8,3,330.66,25.0,257.11,991.98,771.33,220.65,Courriel,56,4
5,CMD-100144,20240212,20240218,,52,170,3,19,3,31.43,10.6,16.6,94.29,49.8,44.49,Courriel,,6
6,CMD-102320,20241230,20250103,20250206,124,80,1,8,3,319.79,3.3,173.12,959.37,519.36,440.01,Représentant,38,4
7,CMD-101552,20240911,20240920,20241024,152,100,2,15,6,501.65,6.5,306.44,3009.9,1838.64,1171.26,Téléphone,43,9
8,CMD-102281,20241217,20241219,20250201,46,67,2,8,6,35.76,14.0,23.77,214.56,142.62,71.94,Représentant,46,2
9,CMD-100747,20240520,20240528,,189,30,2,19,3,162.58,11.2,98.88,487.74,296.64,191.1,Téléphone,,8
10,CMD-101179,20240730,20240807,20240903,196,62,1,8,12,140.91,21.6,112.54,1690.92,1350.48,340.44,Représentant,35,8
11,CMD-100114,20240202,20240205,20240302,145,46,2,10,6,420.44,11.9,308.91,2522.64,1853.46,669.18,Téléphone,29,3
12,CMD-100384,20240329,20240404,20240515,169,122,3,15,3,303.29,11.1,208.3,909.87,624.9,284.97,Téléphone,47,6
13,CMD-102167,20241123,20241128,20241222,137,128,1,18,3,131.95,8.9,77.25,395.85,231.75,164.1,Représentant,29,5
14,CMD-100693,20240513,20240521,,7,16,3,24,8,397.55,3.8,219.41,3180.4,1755.28,1425.12,Représentant,,8
15,CMD-102019,20241101,20241108,20250104,194,78,3,8,10,291.13,24.1,197.64,2911.3,1976.4,934.9,Portail web,64,7
16,CMD-101528,20240910,20240917,20241031,41,83,1,39,12,268.46,12.6,157.14,3221.52,1885.68,1335.84,Téléphone,51,7
17,CMD-101419,20240829,20240902,20240912,199,35,2,19,1,40.19,16.9,30.0,40.19,30.0,10.19,Téléphone,14,4
18,CMD-101934,20241023,20241027,20241205,85,130,1,29,34,420.07,25.6,317.23,14282.38,10785.82,3496.56,Portail web,43,4
19,CMD-101632,20240919,20240921,20241129,3,92,3,15,24,243.34,13.8,140.04,5840.16,3360.96,2479.2,Téléphone,71,2
20,CMD-102066,20241108,20241115,20241218,168,150,3,19,6,527.96,15.6,339.92,3167.76,2039.52,1128.24,Portail web,40,7
21,CMD-100502,20240415,20240424,20240423,91,37,3,24,4,28.34,5.3,16.31,113.36,65.24,48.12,Représentant,8,9
22,CMD-101097,20240711,20240719,20240912,43,155,3,15,1,472.92,12.7,322.38,472.92,322.38,150.54,Représentant,63,8
23,CMD-101637,20240919,20240923,20241019,134,90,2,10,4,89.38,6.7,57.58,357.52,230.32,127.2,Téléphone,30,4
24,CMD-100956,20240618,20240623,20240716,214,59,2,8,19,398.36,24.5,324.94,7568.84,6173.86,1394.98,Courriel,28,5
25,CMD-101688,20240926,20241002,20241007,85,52,2,29,13,236.27,23.1,179.27,3071.51,2330.51,741.0,Téléphone,11,6
26,CMD-100046,20240115,20240120,20240208,80,131,2,24,6,53.71,19.9,36.32,322.26,217.92,104.34,Courriel,24,5
27,CMD-100023,20240108,20240115,20240225,167,53,2,15,3,266.1,18.7,176.84,798.3,530.52,267.78,Représentant,48,7
28,CMD-102159,20241122,20241126,20250117,5,123,2,8,3,210.88,3.0,129.56,632.64,388.68,243.96,Représentant,56,4
29,CMD-100893,20240610,20240617,20240713,17,121,1,15,10,61.49,21.0,43.73,614.9,437.3,177.6,Représentant,33,7
30,CMD-101203,20240801,20240803,20240919,217,170,1,39,1,31.58,10.2,16.6,31.58,16.6,14.98,Représentant,49,2
31,CMD-101503,20240906,20240912,20241023,155,85,1,19,6,62.82,6.5,40.9,376.92,245.4,131.52,Portail web,47,6
32,CMD-102010,20241031,20241108,20241125,11,179,3,19,6,379.69,12.0,226.59,2278.14,1359.54,918.6,Représentant,25,8
33,CMD-100816,20240529,20240531,20240710,137,152,1,18,2,445.67,7.3,265.82,891.34,531.64,359.7,Représentant,42,2
34,CMD-101704,20240927,20241001,20241123,159,115,1,18,4,69.89,6.4,46.26,279.56,185.04,94.52,Portail web,57,4
35,CMD-100801,20240527,20240530,20240707,38,90,2,8,8,81.94,14.5,57.58,655.52,460.64,194.88,Portail web,41,3
36,CMD-101037,20240629,20240704,20240819,145,23,2,10,24,337.86,10.5,239.29,8108.64,5742.96,2365.68,Représentant,51,5
37,CMD-102125,20241118,20241127,20241222,172,56,2,10,4,448.17,8.9,287.11,1792.68,1148.44,644.24,Portail web,34,9
38,CMD-100377,20240329,20240404,20240420,77,84,1,10,12,534.56,7.9,312.0,6414.72,3744.0,2670.72,Représentant,22,6
39,CMD-100264,20240309,20240314,,141,157,1,39,4,47.88,8.5,24.69,191.52,98.76,92.76,Courriel,,5
40,CMD-101246,20240807,20240812,20241005,203,17,1,19,5,445.92,20.9,307.26,2229.6,1536.3,693.3,Portail web,59,5
41,CMD-100851,20240603,20240608,20240719,109,122,1,29,8,325.65,4.6,208.3,2605.2,1666.4,938.8,Représentant,46,5
42,CMD-101826,20241010,20241014,20241201,196,176,1,8,17,496.78,21.2,322.02,8445.26,5474.34,2970.92,Portail web,52,4
43,CMD-100503,20240415,20240424,20240526,89,46,3,10,7,358.5,24.9,308.91,2509.5,2162.37,347.13,Représentant,41,9
44,CMD-100802,20240527,20240530,20240714,211,52,3,39,12,267.03,13.0,179.27,3204.36,2151.24,1053.12,Portail web,48,3
45,CMD-101465,20240903,20240908,20241106,129,85,3,18,12,57.16,14.9,40.9,685.92,490.8,195.12,Portail web,64,5
46,CMD-100208,20240229,20240306,20240503,152,53,1,15,3,298.48,8.8,176.84,895.44,530.52,364.92,Portail web,64,6
47,CMD-100215,20240301,20240306,20240404,174,14,1,19,4,42.49,4.9,26.62,169.96,106.48,63.48,Courriel,34,5
48,CMD-100613,20240501,20240508,20240625,6,123,1,13,8,182.8,16.0,129.56,1462.4,1036.48,425.92,Courriel,55,7
49,CMD-101375,20240823,20240831,20241011,56,28,1,15,8,206.23,12.8,140.77,1649.84,1126.16,523.68,Représentant,49,8
50,CMD-100886,20240607,20240609,20240702,92,59,1,39,32,398.16,24.5,324.94,12741.12,10398.08,2343.04,Représentant,25,2
51,CMD-100472,20240411,20240418,20240615,84,41,1,19,1,232.44,8.3,159.88,232.44,159.88,72.56,Représentant,65,7
52,CMD-101930,20241023,20241028,20241206,199,145,2,19,4,157.15,14.7,108.83,628.6,435.32,193.28,Représentant,44,5
53,CMD-102090,20241113,20241120,20250101,156,143,1,39,4,364.39,2.9,215.92,1457.56,863.68,593.88,Représentant,49,7
54,CMD-101571,20240913,20240922,20241028,110,70,2,29,4,70.65,7.3,39.88,282.6,159.52,123.08,Représentant,45,9
55,CMD-101891,20241018,20241022,20241126,178,85,2,24,2,59.67,11.2,40.9,119.34,81.8,37.54,Représentant,39,4
56,CMD-101218,20240803,20240806,20240928,24,55,3,24,2,301.7,8.1,209.35,603.4,418.7,184.7,Salon,56,3
57,CMD-101883,20241017,20241022,20241210,171,68,2,19,24,469.2,16.8,284.28,11260.8,6822.72,4438.08,Portail web,54,5
58,CMD-100895,20240610,20240617,20240727,69,180,3,39,24,162.46,14.2,93.34,3899.04,2240.16,1658.88,Représentant,47,7
59,CMD-100514,20240417,20240422,20240613,167,120,1,15,7,235.5,20.7,182.88,1648.5,1280.16,368.34,Représentant,57,5
