rejet_id,source,cle,champ,valeur,motif,action
1,catalogue_produits.csv,BD-1033,cout_standard,"0,00",cout_standard_absent,signalee
2,catalogue_produits.csv,BD-1075,cout_standard,"0,00",cout_standard_absent,signalee
3,catalogue_produits.csv,BD-1148,cout_standard,"0,00",cout_standard_absent,signalee
4,catalogue_produits.csv,BD-1154,cout_standard,"0,00",cout_standard_absent,signalee
5,catalogue_produits.csv,BD-1179,cout_standard,"0,00",cout_standard_absent,signalee
6,catalogue_produits.csv,BD-1182,sku,BD-1182,doublon_exact,rejetee
7,catalogue_produits.csv,BD-1160,sku,BD-1160,doublon_exact,rejetee
8,catalogue_produits.csv,BD-1101,sku,BD-1101,doublon_exact,rejetee
9,catalogue_produits.csv,BD-1127,sku,BD-1127,doublon_exact,rejetee
10,catalogue_produits.csv,BD-1035,sku,BD-1035,doublon_exact,rejetee
11,catalogue_produits.csv,BD-1107,sku,BD-1107,doublon_exact,rejetee
12,catalogue_produits.csv,BD-1154,sku,BD-1154,doublon_exact,rejetee
13,catalogue_produits.csv,BD-1166,sku,BD-1166,doublon_exact,rejetee
14,crm_clients.json,CLI-0073,province,Québec,variante_ecriture,corrigee
15,crm_clients.json,CLI-0003,province,qc,variante_ecriture,corrigee
16,crm_clients.json,CLI-0003,ville,Val-d'Or ,casse_ou_espaces,corrigee
17,crm_clients.json,CLI-913,raison_sociale,NATURE SAINT-LAURENT,doublon_metier,fusionnee vers CLI-0003
18,crm_clients.json,CLI-0128,province,Québec,variante_ecriture,corrigee
19,crm_clients.json,CLI-0128,ville,rimouski,casse_ou_espaces,corrigee
20,crm_clients.json,CLI-0132,ville,sudbury,casse_ou_espaces,corrigee
21,crm_clients.json,CLI-0083,province,on,variante_ecriture,corrigee
22,crm_clients.json,CLI-0083,ville,KINGSTON,casse_ou_espaces,corrigee
23,crm_clients.json,CLI-0106,province,Québec,variante_ecriture,corrigee
24,crm_clients.json,CLI-0106,ville,Drummondville ,casse_ou_espaces,corrigee
25,crm_clients.json,CLI-0170,province,qc,variante_ecriture,corrigee
26,crm_clients.json,CLI-0170,ville,MONTRÉAL,casse_ou_espaces,corrigee
27,crm_clients.json,CLI-0153,province,Québec,variante_ecriture,corrigee
28,crm_clients.json,CLI-0153,ville,québec,casse_ou_espaces,corrigee
29,crm_clients.json,CLI-0213,province,Nouveau-Brunswick,variante_ecriture,corrigee
30,crm_clients.json,CLI-0213,ville,FREDERICTON,casse_ou_espaces,corrigee
31,crm_clients.json,CLI-0180,province,Quebec,variante_ecriture,corrigee
32,crm_clients.json,CLI-0206,ville,Rimouski ,casse_ou_espaces,corrigee
33,crm_clients.json,CLI-0162,province,qc,variante_ecriture,corrigee
34,crm_clients.json,CLI-0162,ville,SHAWINIGAN,casse_ou_espaces,corrigee
35,crm_clients.json,CLI-0092,province,Quebec,variante_ecriture,corrigee
36,crm_clients.json,CLI-0092,ville,Val-d'Or ,casse_ou_espaces,corrigee
37,crm_clients.json,CLI-902,raison_sociale,CHALET BLAINVILLE LTÉE,doublon_metier,fusionnee vers CLI-0092
