nom_region,population_totale,annee_population,croissance_pct_annuelle,revenu_disponible_habitant,annee_revenu,taux_chomage,annee_chomage
Abitibi-Témiscamingue,148797.0,2023,0.4,34465.0,2021,3.1,2022
Bas-Saint-Laurent,202955.0,2023,1.0,31190.0,2021,4.6,2022
Capitale-Nationale,795917.0,2023,2.6,35163.0,2021,3.5,2022
Centre-du-Québec,260034.0,2023,1.7,31230.0,2021,2.6,2022
Chaudière-Appalaches,448665.0,2023,1.6,33221.0,2021,1.9,2022
Côte-Nord,89979.0,2023,0.0,33625.0,2021,4.2,2022
Estrie,516919.0,2023,1.9,32395.0,2020,5.1,2021
Gaspésie–Îles-de-la-Madeleine,92104.0,2023,0.3,32372.0,2021,9.9,2022
Lanaudière,551709.0,2023,1.8,33080.0,2021,4.7,2022
Laurentides,664510.0,2023,1.6,35169.0,2021,3.7,2022
Laval,451986.0,2023,1.8,33325.0,2021,4.3,2022
Mauricie,283188.0,2023,1.6,30801.0,2021,4.5,2022
Montérégie,1494119.0,2023,1.6,34369.0,2020,5.5,2021
Montréal,2124865.0,2023,4.3,35311.0,2021,5.8,2022
Nord-du-Québec,46703.0,2023,0.7,31519.0,2021,4.2,2022
Outaouais,418999.0,2023,1.7,32364.0,2021,5.6,2021
Saguenay–Lac-Saint-Jean,283234.0,2023,1.4,32347.0,2021,3.7,2022
