nom_region,population_totale,annee_population,croissance_pct_annuelle,revenu_disponible_habitant,annee_revenu,taux_chomage,annee_chomage,nb_entreprises,potentiel_marche,indice_concurrence,score_opportunite
Montréal,2124865.0,2023,4.3,35311.0,2021,5.8,2022,61482,75031108015.0,0.02893454407691783,89.99999999999999
Montérégie,1494119.0,2023,1.6,34369.0,2020,5.5,2021,35458,51351375911.0,0.023731710794120148,61.57350983173859
Capitale-Nationale,795917.0,2023,2.6,35163.0,2021,3.5,2022,20115,27986829471.0,0.025272735724956245,57.315648791606534
Laurentides,664510.0,2023,1.6,35169.0,2021,3.7,2022,16587,23370152190.0,0.024961249642593792,50.32706196151033
Chaudière-Appalaches,448665.0,2023,1.6,33221.0,2021,1.9,2022,7986,14905099965.0,0.017799471766239843,36.708501562535176
Lanaudière,551709.0,2023,1.8,33080.0,2021,4.7,2022,12382,18250533720.0,0.022442990779559514,36.41886233916753
Estrie,516919.0,2023,1.9,32395.0,2020,5.1,2021,7448,16745591005.0,0.014408446971382364,35.577430688102716
Laval,451986.0,2023,1.8,33325.0,2021,4.3,2022,11920,15062433450.0,0.026372498263220544,34.21213188511146
Abitibi-Témiscamingue,148797.0,2023,0.4,34465.0,2021,3.1,2022,2950,5128288605.0,0.019825668528263337,32.64178541083422
Outaouais,418999.0,2023,1.7,32364.0,2021,5.6,2021,9163,13560483636.0,0.02186878727634195,28.91674716058913
Saguenay–Lac-Saint-Jean,283234.0,2023,1.4,32347.0,2021,3.7,2022,5699,9161770198.0,0.020121171893204913,25.647709630420433
Côte-Nord,89979.0,2023,0.0,33625.0,2021,4.2,2022,1647,3025543875.0,0.018304270996565866,24.803829671757445
Centre-du-Québec,260034.0,2023,1.7,31230.0,2021,2.6,2022,5330,8120861820.0,0.020497319581285523,18.98285252107893
Gaspésie–Îles-de-la-Madeleine,92104.0,2023,0.3,32372.0,2021,9.9,2022,1560,2981590688.0,0.01693737514114479,18.572103728714144
Nord-du-Québec,46703.0,2023,0.7,31519.0,2021,4.2,2022,394,1472031857.0,0.008436288889364709,18.03186716856598
Mauricie,283188.0,2023,1.6,30801.0,2021,4.5,2022,5935,8722473588.0,0.02095780894670678,15.885092668885115
Bas-Saint-Laurent,202955.0,2023,1.0,31190.0,2021,4.6,2022,3814,6330166450.0,0.01879234313025055,15.19408590549636
